why	WRB	why
does	VBZ	do
low	JJ	low
rating	NN	rating
really	RB	really
do	VBP	do
n't	RB	n't
it	PP	it
bad	JJ	bad
acting	JJ	acting
bad	JJ	bad
dialogue	NN	dialogue
well	RB	well
cares	VBZ	care
things	NNS	thing
cheesy	JJ	cheesy
low	JJ	low
budget	NN	budget
horror	NN	horror
seriously	RB	seriously
acting	VBG	act
dialogue	NN	dialogue
is	VBZ	be
n't	RB	n't
important	JJ	important
people	NNS	people
hate	VBP	hate
bad	JJ	bad
acting	JJ	acting
bad	JJ	bad
dialogue	NN	dialogue
should	MD	should
n't	RB	n't
allowed	VBN	allow
rate	NN	rate
cheesy	JJ	cheesy
low	JJ	low
budget	NN	budget
should	MD	should
n't	RB	n't
taken	VBN	take
seriously	RB	seriously
period	NN	period
time	NN	time
talk	NN	talk
right	NN	right
well	RB	well
loved	VBD	love
bought	VBD	buy
expected	VBN	expect
gorefest	NN	<unknown>
but	CC	but
it	PP	it
's	VBZ	be
not	RB	not
gorefest	RB	<unknown>
gore	VB	gore
pretty	RB	pretty
bad	JJ	bad
most	JJS	most
time	NN	time
it	PP	it
's	VBZ	be
just	RB	just
animal	JJ	animal
guts	NNS	gut
placed	VBD	place
body	NN	body
actors	NNS	actor
that	WDT	that
's	VBZ	be
lame	JJ	lame
but	CC	but
did	VBD	do
n't	RB	n't
really	RB	really
care	VB	care
hilarious	JJ	hilarious
characters	NNS	character
hilarious	JJ	hilarious
acting	VBG	act
hilarious	JJ	hilarious
bad	JJ	bad
acting	JJ	acting
good	JJ	good
thing	NN	thing
cheesy	JJ	cheesy
low	JJ	low
budget	NN	budget
horror	NN	horror
dialogue	NN	dialogue
hilarious	JJ	hilarious
bad	JJ	bad
dialogue	NN	dialogue
good	JJ	good
thing	NN	thing
cheesy	JJ	cheesy
low	JJ	low
budget	NN	budget
horror	NN	horror
zombie	NN	zombie
rapist	NN	rapist
huge	JJ	huge
dick	NN	dick
hilarious	JJ	hilarious
flying	VBG	fly
demon	NN	demon
baby	NN	baby
hilarious	JJ	hilarious
on	IN	on
but	CC	but
do	VBP	do
n't	RB	n't
want	VB	want
say	VBP	say
too	RB	too
much	RB	much
but	CC	but
mention	VBP	mention
there	EX	there
's	VBZ	be
scene	NN	scene
girl	NN	girl
masturbates	VBZ	masturbate
sex	NN	sex
doll	NN	doll
like	IN	like
it	PP	it
's	VBZ	be
alive	RB	alive
lol	JJ	<unknown>
oh	UH	oh
zombie	NN	zombie
rapist	NN	rapist
falls	VBZ	fall
love	NN	love
sex	NN	sex
doll	NN	doll
lol	NN	<unknown>
best	JJS	good
lines	NNS	line
detective	NN	detective
manners	NNS	manner
sniffs	VBZ	sniff
coke	NN	coke
detective	NN	detective
sloane	NN	<unknown>
beep	NN	beep
doing	VBG	do
manners	NNS	manner
hell	NN	hell
did	VBD	do
snort	NN	snort
hell	NN	hell
detective	NN	detective
manners	NNS	manner
it	PP	it
's	VBZ	be
nothing	NN	nothing
man	NN	man
it	PP	it
's	VBZ	be
ehh	NN	<unknown>
cold	JJ	cold
medicine	NN	medicine
detective	NN	detective
manners	NNS	manner
injects	VBZ	inject
heroin	NN	heroin
arm	NN	arm
detective	NN	detective
sloane	NN	<unknown>
beep	NN	beep
doing	VBG	do
manners	NNS	manner
beep	VB	beep
insane	JJ	insane
detective	NN	detective
manners	NNS	manner
it	PP	it
's	VBZ	be
cold	JJ	cold
medicine	NN	medicine
detective	NN	detective
manners	NNS	manner
repeatedly	RB	repeatedly
kicks	VBZ	kick
random	JJ	random
guy	NN	guy
face	NN	face
detective	NN	detective
sloane	NN	<unknown>
hell	NN	hell
's	VBZ	be
going	VBG	go
manners	NNS	manner
doing	VBG	do
detective	NN	detective
manners	NNS	manner
maniac	NN	maniac
rambling	VBG	ramble
demons	NNS	demon
started	VBD	start
smashing	VBG	smash
head	NN	head
rock	NN	rock
just	RB	just
started	VBD	start
smashing	VBG	smash
head	NN	head
rock	NN	rock
think	VBP	think
he	PP	he
's	VBZ	be
pcp	JJ	<unknown>
lol	NN	<unknown>
