i	NP	i
given	VBN	give
terrific	JJ	terrific
series	NN	series
full	JJ	full
10	CD	@card@
vote	NN	vote
claudia	NN	<unknown>
black	NN	black
not	RB	not
continued	VBD	continue
inclusion	NN	inclusion
as	IN	as
silly	NN	silly
'	POS	'
vela	NNS	velum
'	POS	'
brought	VBN	bring
series	NN	series
estimation	NN	estimation
bring	VB	bring
as	IN	as
regular	JJ	regular
time	NN	time
as	IN	as
including	VBG	include
ben	NN	ben
browder	NN	<unknown>
replace	VB	replace
rda	NN	<unknown>
mistake	NN	mistake
unfortunately	RB	unfortunately
just	RB	just
reeling	VBG	reel
loss	NN	loss
'	POS	'
jack	NN	jack
'	''	'
really	RB	really
did	VBD	do
n't	RB	n't
need	VB	need
great	JJ	great
series	NN	series
turned	VBD	turn
new	JJ	new
episodes	NNS	episode
'	''	'
farscape	NN	<unknown>
'	POS	'
great	JJ	great
fan	NN	fan
film	NN	film
"	``	"
stargate	JJ	<unknown>
"	''	"
series	NN	series
announced	VBD	announce
reservations	NNS	reservation
live	VB	live
up	RP	up
film	NN	film
but	CC	but
watching	VBG	watch
episode	NN	episode
admit	VBP	admit
hooked	VBN	hook
always	RB	always
looked	VBD	look
forward	RB	forward
new	JJ	new
episodes	NNS	episode
great	JJ	great
anticipation	NN	anticipation
