there	EX	there
is	VBZ	be
n't	RB	n't
much	RB	much
say	VBP	say
film	NN	film
horrible	JJ	horrible
acting	VBG	act
dialog	NN	dialog
way	NN	way
far	RB	far
away	RB	away
decent	JJ	decent
story	NN	story
hybrid	NN	hybrid
werewolf	NN	werewolf
's	VBZ	be
not	RB	not
very	RB	very
well	RB	well
explained	VBD	explain
whole	JJ	whole
thing	NN	thing
plot	NN	plot
holes	VBZ	hole
cgi	NNS	<unknown>
would	MD	would
n't	RB	n't
like	VB	like
amateurish	JJ	amateurish
makes	NNS	make
vomit	VBP	vomit
good	JJ	good
thing	NN	thing
dvd	NN	<unknown>
extras	NNS	extra
gag	NN	gag
reel	VBP	reel
just	RB	just
waste	VB	waste
time	NN	time
money	NN	money
hope	NN	hope
noone	NN	<unknown>
buy	VB	buy
this	DT	this
not	RB	not
worth	JJ	worth
renting	VBG	rent
just	RB	just
stay	VB	stay
away	RB	away
