i	NP	i
very	RB	very
very	RB	very
difficulty	NN	difficulty
watch	NN	watch
initial	JJ	initial
5	CD	5
minutes	NNS	minute
film	NN	film
managed	VBD	manage
stomach	VB	stomach
45	CD	@card@
50	CD	@card@
minutes	NNS	minute
switching	VBG	switch
disgust	NN	disgust
watching	VBG	watch
monster	NN	monster
house	NN	house
instead	RB	instead
way	RB	way
great	JJ	great
fun	NN	fun
story	NN	story
massive	JJ	massive
holes	NNS	hole
plot	NN	plot
line	NN	line
hugely	RB	hugely
stated	VBD	state
dull	JJ	dull
acting	VBG	act
awful	JJ	awful
especially	RB	especially
justin	NN	<unknown>
timberlake	NN	<unknown>
really	RB	really
stick	VBP	stick
good	JJ	good
looking	VBG	look
daft	JJ	daft
singing	NN	singing
like	IN	like
castrato	NN	castrato
morgan	NN	<unknown>
freeman	NN	freeman
looked	VBD	look
incredibly	RB	incredibly
uncomfortable	JJ	uncomfortable
especially	RB	especially
dance	NN	dance
rock	NN	rock
music	NN	music
no	DT	no
apparent	JJ	apparent
reason	NN	reason
half	NN	half
way	NN	way
film	NN	film
timberlake	NN	<unknown>
meet	VB	meet
freeman	NN	freeman
timberlake	NN	<unknown>
's	POS	's
characters	NNS	character
supposed	VBD	suppose
sort	NN	sort
father	NN	father
son	NN	son
relationship	NN	relationship
sorts	NNS	sort
simply	RB	simply
is	VBZ	be
n't	RB	n't
evident	JJ	evident
all	DT	all
apart	JJ	apart
fact	NN	fact
though	IN	though
freeman	NN	freeman
's	POS	's
character	NN	character
nothing	NN	nothing
but	CC	but
contempt	NN	contempt
ignorant	JJ	ignorant
stupid	JJ	stupid
character	NN	character
timberlake	NN	<unknown>
never	RB	never
less	RBR	less
pulls	VBZ	pull
all	DT	all
stops	NNS	stop
help	VBP	help
uncover	VB	uncover
completely	RB	completely
ridiculous	JJ	ridiculous
cover	NN	cover
up	IN	up
incredible	JJ	incredible
suspension	NN	suspension
disbelief	NN	disbelief
any	DT	any
credit	NN	credit
story	NN	story
line	NN	line
simply	RB	simply
absurd	JJ	absurd
blown	VBN	blow
all	DT	all
proportion	NN	proportion
do	VBP	do
n't	RB	n't
watch	VB	watch
film	NN	film
pure	JJ	pure
waste	NN	waste
time	NN	time
