52	CD	@card@
pick	NN	pick
up	RB	up
never	RB	never
got	VBN	get
respect	NN	respect
works	VBZ	work
many	JJ	many
levels	NNS	level
complicated	JJ	complicated
but	CC	but
followable	JJ	followable
plot	NN	plot
actors	NNS	actor
involved	VBD	involve
finest	JJS	fine
performances	NNS	performance
ann	NN	<unknown>
margret	NN	<unknown>
roy	NP	Roy
scheider	NP	Scheider
john	NN	john
glover	NN	glover
perfectly	RB	perfectly
cast	VBD	cast
provide	VB	provide
deep	JJ	deep
character	NN	character
portrayals	NNS	portrayal
notable	JJ	notable
too	RB	too
vanity	NN	vanity
parlayed	VBD	parlay
serious	JJ	serious
acting	JJ	acting
career	NN	career
given	VBN	give
unexpected	JJ	unexpected
ability	NN	ability
shows	VBZ	show
kelly	JJ	<unknown>
preston	NN	<unknown>
who	WP	who
's	VBZ	be
character	NN	character
haunt	NN	haunt
few	JJ	few
days	NNS	day
likes	VBZ	like
action	NN	action
combined	VBN	combine
gritty	JJ	gritty
complicated	JJ	complicated
story	NN	story
enjoy	VBP	enjoy
