i	NP	i
love	NN	love
watch	NN	watch
time	NN	time
time	NN	time
again	RB	again
still	RB	still
engaging	JJ	engaging
congratulations	NNS	congratulation
believe	VBP	believe
involved	VBN	involve
making	VBG	make
the	DT	the
script	NN	script
proud	JJ	proud
eerie	JJ	eerie
feel	NN	feel
like	IN	like
watching	VBG	watch
real	JJ	real
life	NN	life
band	NN	band
like	IN	like
more	JJR	more
like	IN	like
glad	JJ	glad
did	VBD	do
not	RB	not
choose	VB	choose
famous	JJ	famous
hollywood	NN	<unknown>
stars	NNS	star
probably	RB	probably
not	RB	not
worked	VBN	work
billy	NN	billy
connolly	RB	<unknown>
quite	RB	quite
well	RB	well
known	VBN	know
really	RB	really
got	VBD	get
stuck	JJ	stuck
role	NN	role
not	RB	not
imagine	VB	imagine
anybody	NN	anybody
playing	VBG	play
congratulations	NNS	congratulation
again	RB	again
really	RB	really
believe	VBP	believe
deserves	VBZ	deserve
peter	NN	peter
sellers	NNS	seller
comedy	NN	comedy
award	NN	award
nighy	JJ	<unknown>
final	JJ	final
scene	NN	scene
well	RB	well
say	VBP	say
