this	DT	this
comedy	NN	comedy
based	VBN	base
national	JJ	national
stereotypes	NNS	stereotype
no	RB	no
doubt	VBP	doubt
leave	VB	leave
away	RP	away
pretending	VBG	pretend
know	VB	know
care	NN	care
communism	NN	communism
real	JJ	real
russians	NNS	Russian
brits	NNS	brit
accept	VBP	accept
not	RB	not
hurt	VB	hurt
conventions	NNS	convention
fun	NN	fun
film	NN	film
nicole	NN	<unknown>
kidman	NN	<unknown>
best	JJS	good
sexy	JJ	sexy
moving	VBG	move
funny	JJ	funny
ben	NN	ben
chaplin	NN	<unknown>
succeeds	VBZ	succeed
avoid	VB	avoid
completely	RB	completely
shadowed	VBN	shadow
nicole	NN	<unknown>
rest	NN	rest
cast	NN	cast
does	VBZ	do
good	JJ	good
work	NN	work
as	IN	as
well	RB	well
final	JJ	final
moving	VBG	move
logical	JJ	logical
logics	NNS	logic
course	NN	course
worth	JJ	worth
watching	NN	watching
accept	VB	accept
rules	NNS	rule
game	NN	game
