i	NP	i
notice	NN	notice
most	JJS	most
people	NNS	people
think	VBP	think
film	NN	film
speaks	VBZ	speak
truth	NN	truth
either	CC	either
not	RB	not
born	VBN	bear
moon	NN	moon
landings	NNS	landing
1969	CD	@card@
1972	CD	@card@
not	RB	not
old	JJ	old
enough	RB	enough
appreciate	VBP	appreciate
think	VB	think
much	RB	much
easier	JJR	easy
question	NN	question
historic	JJ	historic
event	NN	event
did	VBD	do
not	RB	not
live	VB	live
youngster	NN	youngster
time	NN	time
apollo	NN	apollo
but	CC	but
old	JJ	old
enough	RB	enough
understand	VB	understand
going	VBG	go
entire	JJ	entire
world	NN	world
followed	VBD	follow
moon	NN	moon
landings	NNS	landing
families	NNS	family
gathered	VBD	gather
tv	NN	tv
watch	NN	watch
launch	NN	launch
newspaper	NN	newspaper
headlines	NNS	headline
screamed	VBD	scream
latest	JJS	late
goings	NNS	going
day	NN	day
launch	NN	launch
landing	NN	landing
moonwalks	NNS	<unknown>
moon	VBP	moon
liftoff	RB	liftoff
all	DT	all
way	NN	way
splashdown	NN	splashdown
multitude	NN	multitude
languages	NNS	language
school	NN	school
classes	NNS	class
cancelled	VBD	cancel
watch	VB	watch
main	JJ	main
events	NNS	event
tv	NN	tv
apollo	NN	apollo
13	CD	@card@
world	NN	world
prayed	VBD	pray
held	JJ	held
collective	JJ	collective
breath	NN	breath
as	IN	as
men	NNS	man
limped	VBN	limp
home	RB	home
uncertain	JJ	uncertain
fate	NN	fate
could	MD	could
n't	RB	n't
asking	VBG	ask
latest	JJS	late
world	NN	world
truly	RB	truly
community	NN	community
buffer	VB	buffer
30	CD	@card@
odd	JJ	odd
years	NNS	year
fact	NN	fact
easy	JJ	easy
claim	NN	claim
fraud	NN	fraud
worldwide	JJ	worldwide
enthusiasm	NN	enthusiasm
interest	NN	interest
died	VBD	die
left	JJ	left
history	NN	history
books	NNS	book
anybody	NN	anybody
claim	NN	claim
history	NN	history
wrong	JJ	wrong
attempt	NN	attempt
"	``	"
prove	VB	prove
"	''	"
bunch	NN	bunch
lies	VBZ	lie
up	RP	up
facts	NNS	fact
while	IN	while
completely	RB	completely
ignoring	VBG	ignore
preponderance	NN	preponderance
evidence	NN	evidence
showing	VBG	show
not	RB	not
mention	VB	mention
proof	NN	proof
dwells	NNS	dwell
souls	NNS	soul
memories	NNS	memory
lived	VBD	live
wonderfully	RB	wonderfully
heady	JJ	heady
fantastic	JJ	fantastic
days	NNS	day
