this	DT	this
1948	CD	@card@
but	CC	but
still	RB	still
rings	VBZ	ring
true	JJ	true
today	NN	today
very	RB	very
very	RB	very
funny	JJ	funny
begins	VBZ	begin
family	NN	family
wanting	VBG	want
buy	NN	buy
little	JJ	little
place	NN	place
country	NN	country
"	``	"
builds	VBZ	build
"	``	"
built	VBN	build
house	NN	house
very	RB	very
endearing	VBG	endear
great	JJ	great
cast	NN	cast
cary	NN	<unknown>
grant	NN	grant
myrna	NN	<unknown>
lloyd	NN	Lloyd
delightful	JJ	delightful
film	NN	film
classic	JJ	classic
black	JJ	black
white	JJ	white
film	NN	film
reflects	VBZ	reflect
grand	JJ	grand
style	NN	style
40	NP	@card@
's	POS	's
clothing	NN	clothing
architecture	NN	architecture
family	NN	family
life	NN	life
many	JJ	many
references	NNS	reference
cost	VBP	cost
things	NNS	thing
comparisons	NNS	comparison
today	NN	today
's	POS	's
costs	NNS	cost
pretty	RB	pretty
amazing	JJ	amazing
ca	MD	ca
n't	RB	n't
imagine	VB	imagine
not	RB	not
enjoying	VBG	enjoy
completely	RB	completely
surprised	JJ	surprised
number	NN	number
middle	JJ	middle
aged	VBN	age
people	NNS	people
never	RB	never
heard	VBD	hear
true	JJ	true
classic	JJ	classic
