i	NP	i
10	CD	@card@
years	NNS	year
old	JJ	old
tv	NN	tv
far	RB	far
favorite	JJ	favorite
actors	NNS	actor
very	RB	very
credible	JJ	credible
alexandra	NN	<unknown>
bastedo	NN	<unknown>
just	RB	just
gorgeous	JJ	gorgeous
just	RB	just
order	NN	order
dvd	NN	<unknown>
15	CD	@card@
episodes	NNS	episode
did	VBD	do
n't	RB	n't
super	JJ	super
powers	NNS	power
just	RB	just
superior	JJ	superior
human	JJ	human
skills	NNS	skill
strength	NN	strength
hearing	NN	hearing
sight	NN	sight
3	CD	3
actors	NNS	actor
very	RB	very
good	JJ	good
rolls	NNS	roll
very	RB	very
believable	JJ	believable
good	JJ	good
story	NN	story
episode	NN	episode
time	NN	time
no	DT	no
special	JJ	special
effects	NNS	effect
explosions	NNS	explosion
script	NN	script
suppose	VBP	suppose
good	JJ	good
characters	NNS	character
performs	VBZ	perform
great	JJ	great
no	DT	no
fancy	JJ	fancy
stuff	NN	stuff
like	IN	like
shows	NNS	show
did	VBD	do
n't	RB	n't
try	VB	try
make	VB	make
joke	NN	joke
2	CD	2
minutes	NNS	minute
make	VBP	make
light	RB	light
highly	RB	highly
recommend	VB	recommend
tv	NN	tv
anybody	NN	anybody
like	IN	like
good	JJ	good
stuff	NN	stuff
