it	PP	it
's	VBZ	be
tale	NN	tale
taken	VBN	take
place	NN	place
really	RB	really
given	VBN	give
right	JJ	right
circumstances	NNS	circumstance
street	NN	street
entertainer	NN	entertainer
catching	VBG	catch
attention	NN	attention
famous	JJ	famous
opera	NN	opera
star	NN	star
friendship	NN	friendship
ensuing	VBG	ensue
aging	VBG	age
entertainer	NN	entertainer
finds	NNS	find
buys	VBZ	buy
male	JJ	male
child	NN	child
pass	NN	pass
art	NN	art
follow	VBP	follow
rigors	NNS	rigor
challenging	JJ	challenging
but	CC	but
free	JJ	free
life	NN	life
river	NN	river
traveling	VBG	travel
town	NN	town
town	NN	town
performs	VBZ	perform
degree	NN	degree
notoriety	NN	notoriety
despite	IN	despite
times	NNS	time
influences	VBZ	influence
man	NN	man
kind	NN	kind
good	JJ	good
overall	JJ	overall
performances	NNS	performance
rate	NN	rate
especially	RB	especially
xu	NP	Xu
zhu	NP	Zhu
portrays	VBZ	portray
street	NN	street
performer	JJ	performer
child	NN	child
renying	VBG	<unknown>
zhou	NN	<unknown>
beautiful	JJ	beautiful
downright	JJ	downright
strong	JJ	strong
withstands	VBZ	withstand
overt	JJ	overt
prejudices	NNS	prejudice
well	RB	well
protagonists	NNS	protagonist
supporting	VBG	support
help	NN	help
kind	NN	kind
opera	NN	opera
singer	NN	singer
master	NN	master
liang	NN	<unknown>
interestingly	RB	interestingly
androgynous	JJ	androgynous
zhao	NN	<unknown>
zhigang	NN	<unknown>
paint	VBP	paint
very	RB	very
interesting	JJ	interesting
tale	NN	tale
forgiveness	NN	forgiveness
sadness	NN	sadness
love	NN	love
mentioned	VBD	mention
film	NN	film
's	POS	's
remote	JJ	remote
similarities	NNS	similarity
ba	NN	<unknown>
wang	NN	<unknown>
bie	NN	<unknown>
ji	NN	<unknown>
farewell	NN	farewell
concubine	NN	concubine
yet	CC	yet
film	NN	film
ca	MD	ca
n't	RB	n't
stand	VB	stand
easily	RB	easily
any	DT	any
resemblance	NN	resemblance
remote	JJ	remote
best	JJS	good
qualm	NN	qualm
king	NN	king
masks	NNS	mask
ending	VBG	end
weak	JJ	weak
cliche	NN	cliche
as	IN	as
subtle	JJ	subtle
as	IN	as
sledgehammer	NN	sledgehammer
audience	NN	audience
wrapped	VBD	wrap
up	RP	up
story	NN	story
needless	JJ	needless
manipulation	NN	manipulation
shame	NN	shame
bring	VBP	bring
fine	JJ	fine
motion	NN	motion
picture	VBP	picture
far	RB	far
surrender	VB	surrender
emotional	JJ	emotional
corny	JJ	corny
pathos	NN	pathos
like	IN	like
frankly	RB	frankly
film	NN	film
good	RB	good
instead	RB	instead
classic	JJ	classic
should	MD	should
've	VBP	have
aside	RB	aside
king	NN	king
masks	NNS	mask
still	RB	still
very	RB	very
well	RB	well
worth	JJ	worth
time	NN	time
happy	JJ	happy
shaw	NN	shaw
brothers	NNS	brother
still	RB	still
producing	VBG	produce
good	JJ	good
films	NNS	film
highly	RB	highly
recommended	VBD	recommend
