an	DT	an
utterly	RB	utterly
beautiful	JJ	beautiful
film	NN	film
handful	NN	handful
saw	VBD	see
young	JJ	young
entranced	VBD	entrance
still	RB	still
thief	NN	thief
's	POS	's
case	NN	case
impression	NN	impression
actually	RB	actually
better	RBR	well
passing	VBG	pass
time	NN	time
'	POS	'
90	CD	@card@
's	POS	's
daughter	NN	daughter
seen	VBN	see
many	JJ	many
times	NNS	time
tv	NN	tv
but	CC	but
still	RB	still
went	VBD	go
pictures	NNS	picture
came	VBD	come
local	JJ	local
art	NN	art
house	NN	house
cinema	NN	cinema
finished	VBD	finish
came	VBD	come
starry	JJ	starry
eyed	JJ	eyed
heads	NNS	head
full	JJ	full
poetry	NN	poetry
miklos	NNS	<unknown>
rozsa	NN	<unknown>
's	POS	's
stirring	VBG	stir
music	NN	music
wishing	VBG	wish
lasted	VBN	last
couple	NN	couple
hours	NNS	hour
longer	RBR	longer
thinking	VBG	think
beautiful	JJ	beautiful
world	NN	world
suddenly	RB	suddenly
again	RB	again
idealistic	JJ	idealistic
prince	NN	prince
ahmad	NN	<unknown>
wants	VBZ	want
slum	NN	slum
people	NNS	people
while	IN	while
check	NN	check
things	NNS	thing
but	CC	but
evil	JJ	evil
vizier	NN	vizier
jaffar	NN	<unknown>
takes	VBZ	take
chance	NN	chance
imprison	VB	imprison
seize	VB	seize
throne	NN	throne
escaping	VBG	escape
little	JJ	little
thief	NN	thief
played	VBD	play
sabu	NN	<unknown>
ahmad	NN	<unknown>
spots	NNS	spot
princess	NN	princess
fall	VBP	fall
blindingly	RB	<unknown>
love	VB	love
way	NN	way
many	JJ	many
adventures	NNS	adventure
although	IN	although
apparently	RB	apparently
not	RB	not
enough	JJ	enough
sabu	NN	<unknown>
love	NN	love
not	RB	not
conquers	VBZ	conquer
but	CC	but
annihilates	VBZ	annihilate
special	JJ	special
effects	NNS	effect
mesmerising	VBG	mesmerise
1940	CD	@card@
but	CC	but
time	NN	time
taken	VBN	take
toll	NN	toll
lessened	VBD	lessen
impact	NN	impact
especially	RB	especially
digital	JJ	digital
cartoonery	NN	<unknown>
taken	VBN	take
live	JJ	live
action	NN	action
but	CC	but
still	RB	still
hold	VB	hold
up	RB	up
well	RB	well
compared	VBN	compare
against	IN	against
films	NNS	film
like	IN	like
superman	NN	superman
40	CD	@card@
years	NNS	year
later	JJR	late
i	NNS	i
'm	VBP	be
requested	VBN	request
suspend	VB	suspend
disbelief	NN	disbelief
gargantuan	JJ	gargantuan
guffawing	VBG	guffaw
genies	NNS	genie
flying	VBG	fly
horses	NNS	horse
carpets	NNS	carpet
suspend	VB	suspend
disbelief	NN	disbelief
perfect	JJ	perfect
special	JJ	special
effects	NNS	effect
favourite	JJ	favourite
bits	NNS	bit
dreamy	JJ	dreamy
scene	NN	scene
sunlit	JJ	sunlit
garden	NN	garden
ahmad	NN	<unknown>
reveals	VBZ	reveal
himself	PP	himself
adelaide	NN	<unknown>
hall	NN	hall
's	VBZ	be
suitably	RB	suitably
romantic	JJ	romantic
song	NN	song
stunning	JJ	stunning
colours	NNS	colour
tent	NN	tent
land	NN	land
legend	NN	legend
fact	NN	fact
stunning	JJ	stunning
colours	NNS	colour
sabu	NN	<unknown>
rozsa	NN	<unknown>
's	POS	's
triumphant	JJ	triumphant
but	CC	but
still	RB	still
wistful	JJ	wistful
finale	NN	finale
conrad	NP	Conrad
veidt	NP	<unknown>
played	VBD	play
baddie	NN	baddie
most	RBS	most
incredible	JJ	incredible
romances	NNS	romance
casablanca	NN	<unknown>
died	VBD	die
john	NN	john
justin	NN	<unknown>
june	NN	June
duprez	NN	<unknown>
great	JJ	great
leading	VBG	lead
roles	NNS	role
lovers	NNS	lover
slightly	RB	slightly
refreshingly	RB	refreshingly
stilted	VBN	stilt
but	CC	but
parts	NNS	part
did	VBD	do
n't	RB	n't
huge	JJ	huge
range	NN	range
emotions	NNS	emotion
pure	JJ	pure
love	NN	love
mattered	VBD	matter
there	EX	there
's	VBZ	be
couple	NN	couple
mildly	RB	mildly
violent	JJ	violent
images	NNS	image
but	CC	but
rest	NN	rest
assured	VBD	assure
glorious	JJ	glorious
feelgood	NN	<unknown>
experience	NN	experience
100	CD	@card@
%	NN	%
positive	JJ	positive
message	NN	message
it	PP	it
's	VBZ	be
pity	NN	pity
nowadays	RB	nowadays
little	JJ	little
kids	NNS	kid
do	VBP	do
n't	RB	n't
watch	VB	watch
instead	RB	instead
porn	NN	porn
prefer	VBP	prefer
top	JJ	top
10	CD	@card@
film	NN	film
favourites	NNS	favourite
ca	MD	ca
n't	RB	n't
recommend	VB	recommend
too	RB	too
much	RB	much
shown	VBN	show
end	NN	end
time	NN	time
