hey	UH	hey
truly	RB	truly
theatrex	NN	<unknown>
while	IN	while
grubbing	VBG	grub
videos	NNS	video
flea	NN	flea
market	NN	market
almost	RB	almost
new	JJ	new
condition	NN	condition
reading	VBG	read
the	DT	the
box	NN	box
saw	VBD	see
somewhat	RB	somewhat
"	''	"
cult	NN	cult
hit	VBN	hit
"	``	"
course	NN	course
came	VBD	come
home	NN	home
strange	JJ	strange
film	NN	film
aunt	NN	aunt
cousin	NN	cousin
lady	NN	lady
jacqueline	NN	<unknown>
bouvier	NP	Bouvier
kennedy	NP	Kennedy
onassis	NN	<unknown>
live	VBP	live
decaying	VBG	decay
28	CD	@card@
room	NN	room
house	NN	house
long	JJ	long
island	NN	island
suffolk	NN	<unknown>
share	NN	share
house	NN	house
raccoons	NNS	raccoon
cats	NNS	cat
fleas	NNS	flea
eyow	NN	<unknown>
knows	VBZ	know
suffolk	NN	<unknown>
all	DT	all
point	NN	point
living	VBG	live
filth	NN	filth
old	JJ	old
jackie	NN	<unknown>
herself	PP	herself
came	VBD	come
set	VBN	set
things	NNS	thing
right	RB	right
strange	JJ	strange
pair	NN	pair
big	JJ	big
edie	NN	<unknown>
little	JJ	little
edie	NN	<unknown>
edie	NN	<unknown>
daughter	NN	daughter
always	RB	always
wears	VBZ	wear
head	NN	head
dances	NNS	dance
sings	VBZ	sing
gives	VBZ	give
little	JJ	little
asides	NNS	aside
camera	NN	camera
rarely	RB	rarely
make	VBP	make
much	RB	much
sense	VB	sense
big	JJ	big
edie	NN	<unknown>
mother	NN	mother
age	NN	age
79	CD	@card@
apparently	RB	apparently
likes	VBZ	like
run	VB	run
naked	JJ	naked
while	NN	while
hints	NNS	hint
look	VBP	look
like	IN	like
thankfully	RB	thankfully
tastefully	RB	tastefully
point	VBP	point
we	PP	we
're	VBP	be
mercifully	RB	mercifully
spared	VBN	spare
women	NNS	woman
talk	VBP	talk
talk	NN	talk
talk	NN	talk
mostly	RB	mostly
past	JJ	past
does	VBZ	do
n't	RB	n't
make	VB	make
whole	JJ	whole
lot	NN	lot
sense	NN	sense
except	IN	except
live	JJ	live
absolute	JJ	absolute
filth	NN	filth
cats	NNS	cat
doing	VBG	do
business	NN	business
"	``	"
look	NN	look
cat	NN	cat
's	POS	's
going	VBG	go
bathroom	NN	bathroom
portrait	NN	portrait
"	``	"
bedroom	NN	bedroom
appears	VBZ	appear
center	NN	center
operations	NNS	operation
close	JJ	close
eyes	NNS	eye
listen	VBP	listen
big	JJ	big
edie	NN	<unknown>
's	POS	's
voice	NN	voice
reminds	VBZ	remind
very	RB	very
much	RB	much
late	JJ	late
aunt	NN	aunt
area	NN	area
country	NN	country
lawn	NN	lawn
guyland	NN	<unknown>
accent	NN	accent
scene	NN	scene
little	JJ	little
edie	NN	<unknown>
putting	VBG	put
flea	NN	flea
repellent	JJ	repellent
lovely	NN	lovely
all	DT	all
cats	NNS	cat
scratching	VBG	scratch
all	DT	all
time	NN	time
place	NN	place
infested	VBN	infest
box	NN	box
refers	VBZ	refer
women	NNS	woman
as	IN	as
"	``	"
eccentric	JJ	eccentric
"	''	"
i	NP	i
'd	MD	will
say	VB	say
case	NN	case
just	RB	just
euphemism	NN	euphemism
"	``	"
wacked	JJ	<unknown>
gourds	NNS	gourd
"	''	"
but	CC	but
film	NN	film
not	RB	not
moments	NNS	moment
truly	RB	truly
feel	VBP	feel
equal	JJ	equal
parts	NNS	part
creepy	JJ	creepy
sad	JJ	sad
disgusting	JJ	disgusting
but	CC	but
could	MD	could
n't	RB	n't
stop	VB	stop
watching	NN	watching
started	VBN	start
not	RB	not
"	``	"
normal	JJ	normal
"	''	"
type	NN	type
flick	NN	flick
but	CC	but
somewhat	RB	somewhat
fascinating	JJ	fascinating
wo	MD	wo
n't	RB	n't
everybody	NN	everybody
though	IN	though
guaranteed	VBN	guarantee
