when	WRB	when
saw	VBD	see
thought	NN	thought
looked	VBD	look
interesting	JJ	interesting
watched	JJ	watched
saw	NN	saw
revolved	VBD	revolve
sarah	NN	<unknown>
like	IN	like
character	NN	character
sees	VBZ	see
world	NN	world
revolving	JJ	revolving
got	VBN	get
but	CC	but
was	VBD	be
n't	RB	n't
laughing	VBG	laugh
very	RB	very
much	JJ	much
onstage	NN	onstage
she	PP	she
's	VBZ	be
racist	JJ	racist
crude	NN	crude
insensitive	JJ	insensitive
hugely	RB	hugely
self	NN	self
centered	VBN	center
did	VBD	do
n't	RB	n't
took	VBD	take
all	DT	all
face	NN	face
value	NN	value
got	VBD	get
jesus	NN	<unknown>
magic	NN	magic
think	VBP	think
served	VBN	serve
as	IN	as
sarah	NN	<unknown>
silverman	NN	<unknown>
primer	NN	primer
explaining	VBG	explain
just	RB	just
'	''	'
language	NN	language
'	''	'
she	PP	she
's	VBZ	be
speaking	VBG	speak
she	PP	she
's	POS	's
like	JJ	like
marilyn	NN	<unknown>
manson	NN	<unknown>
working	VBG	work
hard	JJ	hard
faceful	JJ	<unknown>
horrible	JJ	horrible
ideas	NNS	idea
images	NNS	image
but	CC	but
eventually	RB	eventually
realise	VB	realise
is	VBZ	be
n't	RB	n't
assault	VB	assault
it	PP	it
's	POS	's
statement	NN	statement
understand	VBP	understand
you	PP	you
're	VBP	be
glad	JJ	glad
someone	NN	someone
's	VBZ	be
finally	RB	finally
giving	VBG	give
straight	RB	straight
do	VBP	do
n't	RB	n't
mean	VB	mean
suggest	VB	suggest
smart	JJ	smart
people	NNS	people
understand	VBP	understand
hate	VBP	hate
prove	VB	prove
idiocy	NN	idiocy
while	IN	while
like	JJ	like
lot	NN	lot
'	POS	'
smart	JJ	smart
'	''	'
shows	NNS	show
still	RB	still
day	NN	day
not	RB	not
humor	NN	humor
curb	NN	curb
enthusiasm	NN	enthusiasm
impression	NN	impression
it	PP	it
's	VBZ	be
good	JJ	good
but	CC	but
just	RB	just
do	VBP	do
n't	RB	n't
many	JJ	many
people	NNS	people
never	RB	never
sarah	NN	<unknown>
silverman	NN	<unknown>
program	NN	program
but	CC	but
i	NP	i
'm	VBP	be
glad	JJ	glad
eventually	RB	eventually
came	VBD	come
creators	NNS	creator
work	VB	work
hard	JJ	hard
episode	NN	episode
loaded	VBD	load
not	RB	not
just	RB	just
dialogue	NN	dialogue
plot	NN	plot
but	CC	but
songs	NNS	song
dream	VBP	dream
sequences	NNS	sequence
production	NN	production
numbers	NNS	number
people	NNS	people
are	VBP	be
n't	RB	n't
putting	VBG	put
time	NN	time
slot	NN	slot
advertisers	NNS	advertiser
appear	VBP	appear
mission	NN	mission
make	VBP	make
best	RBS	well
predict	VBP	predict
future	JJ	future
i	NNS	i
'd	MD	will
say	VB	say
way	NN	way
arrested	VBN	arrest
development	NN	development
freaks	VBZ	freak
geeks	NNS	geek
canceled	VBD	cancel
it	PP	it
's	VBZ	be
time	NN	time
live	JJ	live
fans	NNS	fan
'	POS	'
hearts	NNS	heart
dvd	NN	<unknown>
but	CC	but
heart	NN	heart
ssp	NN	<unknown>
creators	NNS	creator
audience	NN	audience
we	PP	we
'll	MD	will
watching	NN	watching
as	IN	as
long	RB	long
as	RB	as
let	VB	let
make	VB	make
