a	DT	a
badly	RB	badly
acted	VBN	act
character	NN	character
comedy	NN	comedy
drama	NN	drama
abruptly	RB	abruptly
transmogrifies	VBZ	transmogrify
were	VBD	be
n't	RB	n't
awful	JJ	awful
indians	NNS	Indian
polemic	JJ	polemic
lousy	JJ	lousy
special	JJ	special
effects	NNS	effect
exploitative	JJ	exploitative
use	NN	use
nudity	NN	nudity
ugly	JJ	ugly
violence	NN	violence
it	PP	it
's	VBZ	be
as	RB	as
sincere	JJ	sincere
as	IN	as
politician	NN	politician
's	POS	's
handshake	NN	handshake
as	IN	as
obvious	JJ	obvious
as	IN	as
car	NN	car
salesman	NN	salesman
's	POS	's
pitch	NN	pitch
worst	NN	worst
history	NN	history
universe	NN	universe
absolute	JJ	absolute
utter	JJ	utter
dreck	NN	dreck
