this	DT	this
michael	NP	Michael
vartan	NP	Vartan
i	NP	i
've	VBP	have
seen	VBN	see
have	VBP	have
n't	RB	n't
seen	VBN	see
alias	RB	alias
curious	JJ	curious
guy	NN	guy
act	NN	act
sure	JJ	sure
likable	JJ	likable
natasha	NN	<unknown>
henstridge	NN	<unknown>
course	NN	course
gorgeous	JJ	gorgeous
but	CC	but
usually	RB	usually
more	RBR	more
physical	JJ	physical
action	NN	action
roles	NNS	role
very	RB	very
good	JJ	good
lovable	JJ	lovable
different"sweet	NN	<unknown>
"	''	"
role	NN	role
schoolteacher	NN	schoolteacher
negative	JJ	negative
comments	NNS	comment
read	VBP	read
true	JJ	true
full	JJ	full
clichs	NNS	<unknown>
story	NN	story
does	VBZ	do
n't	RB	n't
ring	VB	ring
true	JJ	true
all	RB	all
though	IN	though
character	NN	character
remarks	NNS	remark
good	JJ	good
look	NN	look
do	VBP	do
n't	RB	n't
think	VB	think
screen	NN	screen
chemistry	NN	chemistry
however	RB	however
enjoyed	VBD	enjoy
locales	NNS	locale
nice	JJ	nice
characters	NNS	character
likable	JJ	likable
goodlooking	JJ	goodlooking
supporting	JJ	supporting
actors	NNS	actor
pretty	RB	pretty
good	JJ	good
expecting	VBG	expect
great	JJ	great
romance	NN	romance
not	RB	not
but	CC	but
want	VB	want
pleasant	JJ	pleasant
innocent	JJ	innocent
goodlooking	JJ	goodlooking
likable	JJ	likable
characters	NNS	character
very	RB	very
good	JJ	good
