what	WP	what
delightful	JJ	delightful
film	NN	film
accompanied	VBN	accompany
oscar	NN	oscar
winning	VBG	win
composer	NN	composer
rachel	NN	<unknown>
portman	NN	<unknown>
's	POS	's
lush	JJ	lush
emotional	JJ	emotional
dreamy	JJ	dreamy
music	NN	music
film	NN	film
remains	VBZ	remain
pure	JJ	pure
delight	NN	delight
worthy	JJ	worthy
viewing	NN	viewing
more	RBR	more
than	IN	than
year	NN	year
incredible	JJ	incredible
casting	NN	casting
gwyneth	NN	<unknown>
paltrow	NP	Paltrow
perfect	JJ	perfect
role	NN	role
emma	NN	<unknown>
toni	NN	<unknown>
collette	NN	<unknown>
great	JJ	great
as	IN	as
harriett	NP	Harriett
smith	NN	smith
character	NN	character
stole	VBD	steal
film	NN	film
miss	VB	miss
bates	NNS	bate
mesmerizing	VBG	mesmerize
watch	NN	watch
finds	VBZ	find
oneself	PP	oneself
edge	VB	edge
ones	NNS	one
'	POS	'
seat	NN	seat
just	RB	just
hanging	VBG	hang
word	NN	word
laughing	VBG	laugh
hysterically	RB	hysterically
most	JJS	most
endearing	VBG	endear
characters	NNS	character
come	VB	come
ages	NNS	age
opening	VBG	open
scenes	NNS	scene
thanking	VBG	thank
mr	NN	Mr
woodhouse	NN	<unknown>
sending	VBG	send
"	``	"
that	DT	that
lovely	JJ	lovely
quarter	NN	quarter
hind	JJ	hind
pork	NN	pork
pork	NN	pork
mother	NN	mother
"	``	"
shouts	VBZ	shout
daffy	JJ	daffy
clearly	RB	clearly
hearing	VBG	hear
impaired	JJ	impaired
mother	NN	mother
mrs	NN	Mrs
bates	NNS	bate
played	VBD	play
emma	NN	<unknown>
thompson	NN	<unknown>
's	POS	's
mother	NN	mother
phyllida	NN	<unknown>
law	NN	law
looks	VBZ	look
forlorn	JJ	forlorn
lost	VBN	lose
comical	JJ	comical
ways	NNS	way
emma	NN	<unknown>
avoid	VBP	avoid
grating	JJ	grating
miss	NN	miss
bates	NNS	bate
builds	VBZ	build
itself	PP	itself
up	RP	up
truly	RB	truly
gut	JJ	gut
wrenching	JJ	wrenching
scene	NN	scene
picnic	NN	picnic
emma	NN	<unknown>
insults	VBZ	insult
miss	NN	miss
bates	NNS	bate
takes	VBZ	take
cruel	JJ	cruel
dig	NN	dig
heart	NN	heart
poor	JJ	poor
miss	NN	miss
bates	NNS	bate
stammering	VBG	stammer
verge	NN	verge
tears	NNS	tear
just	RB	just
crushed	VBD	crush
not	RB	not
help	VB	help
but	CC	but
feel	VB	feel
one	CD	one
's	POS	's
heart	NN	heart
ripped	VBD	rip
behalf	NN	behalf
classic	JJ	classic
scene	NN	scene
rewound	VBD	rewind
played	VBN	play
over	IN	over
ending	VBG	end
right	NN	right
up	IN	up
"	``	"
sense	NN	sense
sensibility	NN	sensibility
"	``	"
provides	VBZ	provide
life	NN	life
's	POS	's
greatest	JJS	great
lessons	NNS	lesson
marry	VBP	marry
one	CD	one
's	POS	's
best	JJS	good
friend	NN	friend
hope	NN	hope
film	NN	film
delights	VBZ	delight
all	DT	all
as	RB	as
much	JJ	much
as	IN	as
myself	PP	myself
adored	VBD	adore
