this	DT	this
film	NN	film
absolutely	RB	absolutely
horrific	JJ	horrific
worst	JJS	bad
i	NNS	i
've	VBP	have
seen	VBN	see
story	NN	story
does	VBZ	do
nearly	RB	nearly
not	RB	not
exist	VB	exist
characters	NNS	character
full	JJ	full
stereotypes	NNS	stereotype
special	JJ	special
fx	NN	<unknown>
make	VBP	make
laugh	VB	laugh
remarkable	JJ	remarkable
thing	NN	thing
guest	NN	guest
appearance	NN	appearance
rapper	NN	rapper
coolio	NN	<unknown>
as	IN	as
kind	NN	kind
police	NN	police
officer	NN	officer
film	NN	film
supposed	VBN	suppose
comedy	NN	comedy
did	VBD	do
n't	RB	n't
quite	RB	quite
point	NN	point
want	VBP	want
watch	VB	watch
drunk	JJ	drunk
prepare	VBP	prepare
good	JJ	good
laughs	NNS	laugh
especially	RB	especially
special	JJ	special
fx	NN	<unknown>
appear	VBP	appear
screen	NN	screen
but	CC	but
like	JJ	like
trash	NN	trash
cheap	JJ	cheap
film	NN	film
