i	NP	i
saw	VBD	see
glacier	NN	glacier
fox	NN	fox
theatre	NN	theatre
years	NNS	year
old	JJ	old
bugged	VBN	bug
parents	NNS	parent
times	NNS	time
began	VBD	begin
looking	VBG	look
video	JJ	video
years	NNS	year
ago	RB	ago
finally	RB	finally
uncovering	VBG	uncover
copy	NN	copy
online	JJ	online
auction	NN	auction
site	NN	site
but	CC	but
love	NN	love
either	CC	either
picked	VBD	pick
up	RP	up
new	JJ	new
distributor	NN	distributor
rereleased	VBN	rerelease
understand	VBP	understand
original	JJ	original
video	NN	video
run	VBN	run
small	JJ	small
rights	NNS	right
purchased	VBD	purchase
family	NN	family
channel	NN	channel
disney	NN	<unknown>
shown	VBN	show
regularly	RB	regularly
fascinating	JJ	fascinating
film	NN	film
draws	VBZ	draw
story	NN	story
life	NN	life
struggle	NN	struggle
family	NN	family
foxes	VBZ	fox
northern	JJ	northern
japan	NN	japan
narrated	VBD	narrate
wise	JJ	wise
old	JJ	old
tree	NN	tree
excellent	JJ	excellent
soundtrack	NN	soundtrack
compliments	NNS	compliment
film	NN	film
well	RB	well
good	JJ	good
seller	NN	seller
today	NN	today
better	RBR	well
than	IN	than
many	JJ	many
weak	JJ	weak
offerings	NNS	offering
children	NNS	child
's	POS	's
today	NN	today
