why	WRB	why
people	NNS	people
bitch	VBP	bitch
not	RB	not
awful	JJ	awful
like	IN	like
godfather	NN	godfather
titanic	JJ	titanic
greatest	JJ	greatest
21st	JJ	21st
century	NN	century
great	JJ	great
acting	VBG	act
directing	NN	directing
effects	NNS	effect
music	NN	music
generally	RB	generally
always	RB	always
dumped	VBD	dump
all	DT	all
day	NN	day
said	VBD	say
did	VBD	do
n't	RB	n't
like	VB	like
any	RB	any
more	JJR	more
most	JJS	most
world	NN	world
decided	VBD	decide
agree	VB	agree
nothing	NN	nothing
wrong	RB	wrong
all	RB	all
say	VBP	say
not	RB	not
most	RBS	most
heavily	RB	heavily
oscar	NN	oscar
awarded	VBD	award
all	DT	all
time	NN	time
most	JJS	most
money	NN	money
sadly	RB	sadly
most	RBS	most
underrated	VBN	underrate
i	NP	i
've	VBP	have
seen	VBN	see
apart	RB	apart
truly	RB	truly
best	JJS	good
all	DT	all
time	NN	time
come	VBN	come
close	RB	close
like	IN	like
all	DT	all
star	NN	star
wars	NNS	war
lord	NN	lord
rings	VBZ	ring
trilogy	NN	trilogy
masters	NNS	master
hitchcock	JJ	<unknown>
spielberg	NP	Spielberg
tim	NN	<unknown>
burton	NN	burton
all	DT	all
good	JJ	good
directors	NNS	director
but	CC	but
none	NN	none
match	VBP	match
up	RP	up
james	NNS	<unknown>
cameron	NN	<unknown>
's	POS	's
masterpiece	NN	masterpiece
titanic	JJ	titanic
