i	NP	i
initially	RB	initially
bought	VBD	buy
dvd	JJ	<unknown>
srk	NN	<unknown>
aishwarya	NN	<unknown>
rai	NNS	<unknown>
cover	VB	cover
thought	VBN	think
hey	UH	hey
film	NN	film
starring	VBG	star
aishu	NN	<unknown>
shah	NN	shah
rukh	NN	<unknown>
little	RB	little
did	VBD	do
know	VB	know
aishwarya	NN	<unknown>
appear	VBP	appear
item	NN	item
number	NN	number
quarter	NN	quarter
film	NN	film
song	NN	song
shares	NNS	share
srk	NN	<unknown>
helps	VBZ	help
introduce	VB	introduce
character	NN	character
film	NN	film
just	RB	just
15	CD	@card@
minutes	NNS	minute
shakti	NN	<unknown>
film	NN	film
mother	NN	mother
's	POS	's
love	NN	love
endurance	NN	endurance
it	PP	it
's	VBZ	be
film	NN	film
transformations	NNS	transformation
ignorance	NN	ignorance
coming	VBG	come
age	NN	age
stepping	VBG	step
know	VB	know
embracing	VBG	embrace
harsh	JJ	harsh
realities	NNS	reality
life	NN	life
item	NN	item
number	NN	number
srk	NN	<unknown>
aishu	NN	<unknown>
appear	VBP	appear
nothing	NN	nothing
it	PP	it
's	VBZ	be
actually	RB	actually
dream	NN	dream
sequence	NN	sequence
occurs	VBZ	occur
while	IN	while
srk	NN	<unknown>
's	POS	's
drunken	JJ	drunken
character	NN	character
knocked	VBD	knock
unconscious	JJ	unconscious
booze	NN	booze
dreams	VBZ	dream
aishwarya	NN	<unknown>
rai	NNS	<unknown>
sexy	JJ	sexy
street	NN	street
girl	NN	girl
shows	VBZ	show
up	RP	up
favourite	JJ	favourite
hangout	NNS	hangout
spot	NN	spot
day	NN	day
dressed	VBN	dress
scantily	RB	scantily
begins	VBZ	begin
seduce	VB	seduce
title	NN	title
song	NN	song
'	POS	'
ishq	JJ	<unknown>
kamina	NN	<unknown>
'	POS	'
loosely	RB	loosely
translated	VBN	translate
as	IN	as
"	``	"
love	NN	love
's	POS	's
bitch	NN	bitch
"	``	"
just	RB	just
plain	JJ	plain
smoking	NN	smoking
hot	JJ	hot
do	VBP	do
n't	RB	n't
miss	VB	miss
