this	DT	this
film	NN	film
much	JJ	much
rip	NN	rip
masterpeice	NN	<unknown>
"	``	"
demons	NNS	demon
"	''	"
thats	NN	<unknown>
thing	NN	thing
makes	VBZ	make
worth	JJ	worth
watching	NN	watching
acting	VBG	act
terrible	JJ	terrible
action	NN	action
scenes	NNS	scene
speeded	VBD	speed
up	RB	up
script	VB	script
almost	RB	almost
painful	JJ	painful
budget	NN	budget
non	JJ	non
existent	NN	existent
think	VBP	think
film	NN	film
good	JJ	good
hav	NN	<unknown>
n't	RB	n't
seen	VBN	see
real	JJ	real
horror	NN	horror
film	NN	film
skip	VBP	skip
copy	NN	copy
demons	NNS	demon
