we	PP	we
all	RB	all
know	VBP	know
greatest	JJS	great
all	DT	all
time	NN	time
based	VBN	base
books	NNS	book
while	IN	while
not	RB	not
particularly	RB	particularly
accurate	JJ	accurate
adaptations	NNS	adaptation
nonetheless	RB	nonetheless
excellent	JJ	excellent
films	NNS	film
great	JJ	great
examples	NNS	example
harry	VBP	harry
potter	NN	potter
series	NN	series
lord	NN	lord
rings	NNS	ring
trilogy	NN	trilogy
lesser	JJR	lesser
extent	NN	extent
almost	RB	almost
disney	NN	<unknown>
film	NN	film
however	RB	however
regretfully	RB	regretfully
announce	VB	announce
wrinkle	NN	wrinkle
time	NN	time
not	RB	not
not	RB	not
does	VBZ	do
fail	VB	fail
meet	VB	meet
most	RBS	most
basic	JJ	basic
expectations	NNS	expectation
madeleine	NN	madeleine
l'engle	NN	<unknown>
's	POS	's
fan	NN	fan
base	NN	base
manages	VBZ	manage
defy	VB	defy
standards	NNS	standard
scriptwriting	NN	scriptwriting
acting	VBG	act
special	JJ	special
effects	NNS	effect
ultimately	RB	ultimately
respect	VB	respect
audience	NN	audience
mind	NN	mind
i	NNS	i
'm	VBP	be
not	RB	not
trying	VBG	try
mean	JJ	mean
contrary	NN	contrary
went	VBD	go
affair	NN	affair
open	JJ	open
mind	NN	mind
figured	VBD	figure
t	NN	t
v	NN	v
make	VB	make
up	RP	up
lack	NN	lack
razzle	NN	razzle
dazzle	NN	dazzle
script	NN	script
all	DT	all
star	NN	star
wars	NNS	war
spin	VB	spin
ewoks	NNS	<unknown>
decent	JJ	decent
little	RB	little
silly	RB	silly
come	VB	come
think	VB	think
original	JJ	original
star	NN	star
wars	NNS	war
"	``	"
a	DT	a
lunch	NN	lunch
money	NN	money
budget	NN	budget
"	''	"
look	NN	look
took	VBD	take
george	NN	<unknown>
lucas	NNS	<unknown>
however	RB	however
scene	NN	scene
onward	JJ	onward
disappointment	NN	disappointment
started	VBD	start
enveloping	VBG	envelop
as	IN	as
i	NP	i
'd	VBD	have
gotten	VBN	get
too	RB	too
close	JJ	close
black	JJ	black
thing	NN	thing
while	IN	while
tessering	VBG	<unknown>
way	NN	way
greedo	NN	<unknown>
shooting	VBG	shoot
symbol	NN	symbol
star	NN	star
wars	NNS	war
special	JJ	special
edition	NN	edition
1997	CD	@card@
