to	TO	to
all	DT	all
miserable	JJ	miserable
people	NNS	people
complain	VBP	complain
dialogue	NN	dialogue
budget	NN	budget
wants	VBZ	want
hear	VB	hear
missed	VBN	miss
point	NN	point
beautiful	JJ	beautiful
that	WDT	that
's	VBZ	be
loss	NN	loss
rest	NN	rest
deeply	RB	deeply
love	VBP	love
not	RB	not
care	VB	care
think	VB	think
thirthysomething	NN	<unknown>
guy	NN	guy
seen	VBN	see
thousands	NNS	thousand
life	NN	life
stands	VBZ	stand
entity	NN	entity
book	NN	book
not	RB	not
supposed	VBN	suppose
documentary	NN	documentary
completely	RB	completely
factual	JJ	factual
account	NN	account
happened	VBD	happen
night	NN	night
most	RBS	most
amazing	JJ	amazing
love	NN	love
story	NN	story
attempted	VBD	attempt
know	VB	know
cynical	JJ	cynical
90	CD	@card@
's	POS	's
millennium	NN	millennium
tizzy	NN	tizzy
but	CC	but
come	VB	come
comments	NNS	comment
board	NN	board
complained	VBD	complain
too	RB	too
much	JJ	much
money	NN	money
lame	NN	lame
bundles	NNS	bundle
money	NN	money
civilized	JJ	civilized
country	NN	country
planet	NN	planet
top	JJ	top
grossing	VBG	gross
film	NN	film
planet	NN	planet
gladly	RB	gladly
majority	NN	majority
time	NN	time
okay	JJ	okay
cynics	NNS	cynic
time	NN	time
crawl	NN	crawl
under	IN	under
rock	NN	rock
