there	EX	there
much	RB	much
wrong	JJ	wrong
film	NN	film
but	CC	but
sum	VB	sum
up	RP	up
terrible	JJ	terrible
acting	JJ	acting
bad	JJ	bad
purpose	NN	purpose
poor	JJ	poor
script	NN	script
good	JJ	good
ideas	NNS	idea
but	CC	but
not	RB	not
best	JJS	good
way	NN	way
present	JJ	present
story	NN	story
ridiculously	RB	ridiculously
bad	JJ	bad
ending	VBG	end
cases	NNS	case
ending	NN	ending
manages	VBZ	manage
save	VB	save
film	NN	film
not	RB	not
case	NN	case
manage	VBP	manage
sit	VB	sit
entire	JJ	entire
film	NN	film
want	VBP	want
kick	NN	kick
end	NN	end
ending	VBG	end
not	RB	not
worth	NN	worth
waiting	VBG	wait
worst	JJS	bad
film	NN	film
seen	VBN	see
long	JJ	long
time	NN	time
complete	JJ	complete
torture	NN	torture
sitting	VBG	sit
film	NN	film
appreciated	VBD	appreciate
warning	VBG	warn
advance	NN	advance
favor	NN	favor
watch	NN	watch
film	NN	film
absolutely	RB	absolutely
nothing	RB	nothing
better	RBR	well
regret	VB	regret
having	VBG	have
unspeakable	JJ	unspeakable
torture	NN	torture
