i	NP	i
ca	MD	ca
n't	RB	n't
think	VB	think
much	RB	much
say	VB	say
film	NN	film
awful	JJ	awful
ca	MD	ca
n't	RB	n't
tell	VB	tell
decide	VB	decide
view	VB	view
it	PP	it
few	JJ	few
redeeming	JJ	redeeming
qualities	NNS	quality
do	VBP	do
n't	RB	n't
know	VB	know
begin	VB	begin
plot	NN	plot
moved	VBD	move
implausible	JJ	implausible
downright	JJ	downright
absurd	JJ	absurd
entire	JJ	entire
body	NN	body
tense	JJ	tense
duration	NN	duration
not	RB	not
wait	VB	wait
awful	JJ	awful
thing	NN	thing
end	VB	end
myself	PP	myself
feeling	VBG	feel
relieved	JJ	relieved
editing	VBG	edit
poor	JJ	poor
acting	VBG	act
sub	NN	sub
par	NN	par
storyline	NN	storyline
weak	JJ	weak
francoise	NN	<unknown>
robinson	NN	<unknown>
cast	VBN	cast
as	IN	as
native	JJ	native
american	NN	American
though	RB	though
does	VBZ	do
not	RB	not
closely	RB	closely
resemble	VB	resemble
native	JJ	native
american	NN	American
heritage	NN	heritage
going	VBG	go
idiotic	JJ	idiotic
laughably	RB	laughably
stupid	JJ	stupid
very	RB	very
least	JJS	least
was	VBD	be
n't	RB	n't
just	RB	just
pathetic	JJ	pathetic
