what	WP	what
pathetic	JJ	pathetic
wo	MD	wo
n't	RB	n't
waste	VB	waste
much	JJ	much
time	NN	time
commenting	VBG	comment
i	NP	i
'm	VBP	be
still	RB	still
trying	VBG	try
couple	NN	couple
hours	NNS	hour
wasted	VBN	waste
let	VBP	let
leave	VB	leave
simply	RB	simply
shaq	JJ	<unknown>
no	DT	no
business	NN	business
actor	NN	actor
singer	NN	singer
utterly	RB	utterly
talent	NN	talent
discplines	NNS	<unknown>
it	PP	it
's	VBZ	be
crying	VBG	cry
shame	NN	shame
substantially	RB	substantially
more	RBR	more
talented	JJ	talented
people	NNS	people
waste	VB	waste
away	RP	away
community	NN	community
theatres	NNS	theatre
karaoke	NN	karaoke
bars	NNS	bar
while	IN	while
shaq	JJ	<unknown>
uses	NNS	use
as	IN	as
basketball	NN	basketball
player	NN	player
undeservedly	RB	undeservedly
cast	VBD	cast
cut	NN	cut
cds	NNS	<unknown>
much	JJ	much
failure	NN	failure
pathetic	JJ	pathetic
no	DT	no
talent	NN	talent
shaq	JJ	<unknown>
