this	DT	this
truly	RB	truly
bad	JJ	bad
film	NN	film
character	NN	character
"	``	"
cole	NN	cole
"	''	"
played	VBD	play
michael	NP	Michael
moriarty	NN	<unknown>
biggest	JJS	big
reason	NN	reason
flopped	VBD	flop
actor	NN	actor
felt	VBD	feel
conjuring	VBG	conjure
up	RP	up
unbelievably	RB	unbelievably
awkward	JJ	awkward
southern	JJ	southern
drawl	NN	drawl
make	VB	make
character	NN	character
more	JJR	more
evil	NN	evil
did	VBD	do
n't	RB	n't
20	CD	@card@
minutes	NNS	minute
wished	VBD	wish
speech	NN	speech
therapist	NN	therapist
make	VBP	make
appearance	NN	appearance
added	VBD	add
sincerity	NN	sincerity
1	CD	1
badly	RB	badly
acted	VBD	act
2	CD	2
unsympathetic	JJ	unsympathetic
characters	NNS	character
3	CD	3
razor	NN	razor
thin	JJ	thin
plot	NN	plot
lineyuck	NN	<unknown>
