i	NP	i
mean	JJ	mean
word	NN	word
"	``	"
pedestrian	JJ	pedestrian
"	''	"
producers	NNS	producer
film	NN	film
forgot	VBD	forget
interesting	VBG	interest
happen	VB	happen
faith	NN	faith
domergue	NN	<unknown>
better	RBR	well
than	IN	than
supposed	VBN	suppose
mysterious	JJ	mysterious
vengeful	JJ	vengeful
cobra	NN	cobra
goddess	NN	goddess
torn	JJ	torn
love	NN	love
marshall	NN	<unknown>
thompson	NN	<unknown>
there	RB	there
's	POS	's
idea	NN	idea
eh	NNS	<unknown>
instead	RB	instead
she	PP	she
's	VBZ	be
common	JJ	common
housewife	NN	housewife
fifties	NNS	fifty
single	JJ	single
flat	JJ	flat
expression	NN	expression
wears	VBZ	wear
film	NN	film
makes	NNS	make
think	VBP	think
shot	NN	shot
all	DT	all
early	JJ	early
morning	NN	morning
faith	NN	faith
coffee	NN	coffee
as	IN	as
rest	NN	rest
cast	VBD	cast
all	DT	all
earnestly	RB	earnestly
"	``	"
all	RB	all
american	JJ	American
"	''	"
result	NN	result
laughable	JJ	laughable
ground	NN	ground
more	RBR	more
productively	RB	productively
covered	VBN	cover
val	NN	<unknown>
lewton	NN	<unknown>
"	``	"
the	DT	the
cat	NN	cat
people	NNS	people
"	``	"
think	VBP	think
"	''	"
cult	NN	cult
cobra	NN	cobra
"	``	"
really	RB	really
titled	JJ	titled
"	''	"
cult	NN	cult
contractual	JJ	contractual
obligation	NN	obligation
"	''	"
many	JJ	many
talented	JJ	talented
people	NNS	people
sleepwalk	VBP	sleepwalk
way	NN	way
though	IN	though
slow	JJ	slow
moving	VBG	move
predictable	JJ	predictable
derivative	JJ	derivative
failure	NN	failure
like	IN	like
