this	DT	this
amazing	JJ	amazing
while	IN	while
funny	JJ	funny
entertaining	JJ	entertaining
profoundly	RB	profoundly
deep	JJ	deep
eye	NN	eye
opening	NN	opening
watch	VBP	watch
again	RB	again
again	RB	again
bruce	NN	<unknown>
guy	NN	guy
unhappy	JJ	unhappy
life	NN	life
job	NN	job
life	NN	life
but	CC	but
is	VBZ	be
n't	RB	n't
thinks	VBZ	think
bring	VB	bring
happiness	NN	happiness
bruce	NN	<unknown>
bitter	JJ	bitter
unsatisfied	JJ	unsatisfied
resentful	JJ	resentful
life	NN	life
is	VBZ	be
n't	RB	n't
way	NN	way
envisions	VBZ	envision
as	RB	as
result	VB	result
state	NN	state
mind	NN	mind
bruce	NN	<unknown>
ends	VBZ	end
up	IN	up
losing	VBG	lose
job	NN	job
blaming	VBG	blame
god	NN	god
thinks	VBZ	think
wrong	JJ	wrong
life	NN	life
god	NN	god
comes	VBZ	come
bruce	NN	<unknown>
grants	NNS	grant
godly	JJ	godly
powers	NNS	power
bruce	NN	<unknown>
uses	VBZ	use
powers	NNS	power
always	RB	always
wanted	VBD	want
life	NN	life
finally	RB	finally
exactly	RB	exactly
envisioned	VBN	envision
make	VBP	make
happy	JJ	happy
exception	NN	exception
process	NN	process
gaining	VBG	gain
loses	NNS	lose
person	NN	person
truly	RB	truly
loved	VBD	love
as	RB	as
unfolds	VBZ	unfold
bruce	NN	<unknown>
learns	VBZ	learn
real	JJ	real
change	NN	change
needed	VBD	need
occur	VB	occur
life	NN	life
not	RB	not
circumstances	NNS	circumstance
but	CC	but
perception	NN	perception
truly	RB	truly
inspirational	JJ	inspirational
deep	RB	deep
really	RB	really
pay	VB	pay
attention	NN	attention
forces	NNS	force
look	VBP	look
life	NN	life
deeply	RB	deeply
humbling	VBG	humble
respect	NN	respect
fact	NN	fact
lot	NN	lot
time	NN	time
much	RB	much
more	RBR	more
blessed	JJ	blessed
than	IN	than
recognize	VB	recognize
as	IN	as
wife	NN	wife
says	VBZ	say
"	``	"
since	RB	since
does	VBZ	do
anybody	NN	anybody
know	VBP	know
takes	VBZ	take
make	VB	make
happy	JJ	happy
"	``	"
humble	JJ	humble
addition	NN	addition
"	''	"
may	MD	may
not	RB	not
lose	VB	lose
matter	NN	matter
while	IN	while
try	NN	try
"	''	"
