it	PP	it
disgusting	JJ	disgusting
painful	JJ	painful
waste	NN	waste
cast	NN	cast
swear	VBP	swear
audience	NN	audience
1	CD	1
2	CD	2
full	RB	full
laughed	VBD	laugh
twice	RB	twice
90	CD	@card@
minutes	NNS	minute
not	RB	not
lie	VBP	lie
not	RB	not
rent	VB	rent
zeta	NN	zeta
jones	NNS	<unknown>
just	RB	just
too	RB	too
mean	VB	mean
believable	JJ	believable
cusack	NN	<unknown>
ok	VBP	ok
just	RB	just
ok	VB	ok
felt	VBN	feel
sorry	JJ	sorry
actor	NN	actor
case	NN	case
people	NNS	people
remember	VBP	remember
mess	NN	mess
roberts	NNS	<unknown>
as	IN	as
always	RB	always
charming	JJ	charming
sweet	JJ	sweet
but	CC	but
no	DT	no
purpose	NN	purpose
"	``	"
romance	NN	romance
"	''	"
john	NN	john
completely	RB	completely
unbelievable	JJ	unbelievable
