an	DT	an
unusual	JJ	unusual
film	NN	film
ringo	NN	<unknown>
lam	NN	lam
that	WDT	that
's	VBZ	be
strangely	RB	strangely
under	IN	under
appreciated	VBN	appreciate
mix	NN	mix
fantasy	NN	fantasy
kung	NP	kung
fu	NP	fu
more	RBR	more
realistic	JJ	realistic
depiction	NN	depiction
swords	NNS	sword
spears	VBZ	spear
driven	VBN	drive
bodies	NNS	body
startling	VBG	startle
especially	RB	especially
minutes	NNS	minute
horseback	NN	horseback
rider	NN	rider
chopped	VBD	chop
waist	NN	waist
legs	NNS	leg
riding	VBG	ride
horse	NN	horse
horses	NNS	horse
chopped	VBN	chop
up	IN	up
it	PP	it
's	VBZ	be
very	RB	very
unexpected	JJ	unexpected
story	NN	story
very	RB	very
simple	JJ	simple
fong	NN	<unknown>
shaolin	NN	<unknown>
brothers	NNS	brother
captured	VBD	capture
crazed	JJ	crazed
maniac	JJ	maniac
general	NN	general
imprisoned	VBN	imprison
red	JJ	red
lotus	NN	lotus
temple	NN	temple
more	JJR	more
torture	NN	torture
chamber	NN	chamber
temple	NN	temple
general	JJ	general
similarity	NN	similarity
kurtz	NN	<unknown>
apocalypse	NN	apocalypse
as	IN	as
spouts	NNS	spout
warped	VBN	warp
philosophy	NN	philosophy
makes	VBZ	make
frightening	JJ	frightening
paintings	NNS	painting
human	JJ	human
blood	NN	blood
production	NN	production
very	RB	very
impressive	JJ	impressive
setting	VBG	set
bleak	JJ	bleak
blood	NN	blood
action	NN	action
very	RB	very
well	RB	well
mostly	RB	mostly
coherent	JJ	coherent
unlike	IN	unlike
many	JJ	many
hk	NN	<unknown>
action	NN	action
scenes	NNS	scene
time	NN	time
veers	VBZ	veer
absurdity	NN	absurdity
effects	NNS	effect
cheesy	JJ	cheesy
but	CC	but
it	PP	it
's	VBZ	be
never	RB	never
bad	JJ	bad
enough	JJ	enough
ruin	NN	ruin
film	NN	film
it	PP	it
's	VBZ	be
best	JJS	good
hk	NN	<unknown>
kung	NP	kung
fu	NP	fu
films	VBZ	film
early	JJ	early
nineties	NNS	ninety
just	RB	just
remember	VBP	remember
it	PP	it
's	VBZ	be
not	RB	not
child	NN	child
friendly	JJ	friendly
