i	NP	i
rented	VBD	rent
flick	NN	flick
reason	NN	reason
tom	NN	tom
savini	NN	<unknown>
respect	NN	respect
work	NN	work
but	CC	but
real	JJ	real
let	VBP	let
horrible	JJ	horrible
clichs	NNS	<unknown>
half	DT	half
film	NN	film
naked	JJ	naked
women	NNS	woman
called	VBD	call
"	``	"
fallen	JJ	fallen
angels	NNS	angel
"	''	"
running	VBG	run
trying	VBG	try
act	NN	act
scary	JJ	scary
oh	UH	oh
occasional	JJ	occasional
"	``	"
blair	JJ	<unknown>
witch	NN	witch
"	''	"
black	JJ	black
white	JJ	white
motion	NN	motion
sicken	VB	sicken
camera	NN	camera
scenes	NNS	scene
tom	NN	tom
's	POS	's
character	NN	character
really	RB	really
awful	JJ	awful
horrible	JJ	horrible
script	NN	script
got	VBD	get
love	NN	love
lines	NNS	line
use	NN	use
"	``	"
is	VBZ	be
is	VBZ	be
n't	RB	n't
funny	JJ	funny
"	''	"
no	RB	no
but	CC	but
acting	VBG	act
wish	NN	wish
flick	NN	flick
0	CD	0
oh	UH	oh
names	NNS	name
characters	NNS	character
judd	NN	<unknown>
molly	NN	molly
ally	NN	ally
emilio	NN	<unknown>
but	CC	but
did	VBD	do
leave	VB	leave
anthony	JJ	<unknown>
breakfast	NN	breakfast
club	NN	club
reunite	VB	reunite
forest	NN	forest
unforgivable	JJ	unforgivable
acting	VBG	act
