i	NP	i
enjoyed	VBD	enjoy
cinematographic	JJ	cinematographic
recreation	NN	recreation
china	NN	china
1930s	NNS	1930s
beautiful	JJ	beautiful
film	NN	film
story	NN	story
simple	NN	simple
older	JJR	old
male	JJ	male
performer	NN	performer
wants	VBZ	want
pass	VB	pass
art	NN	art
young	JJ	young
man	NN	man
although	IN	although
no	DT	no
living	VBG	live
children	NNS	child
faces	VBZ	face
actors	NNS	actor
marvelous	JJ	marvelous
story	NN	story
reveals	VBZ	reveal
devotion	NN	devotion
gratitude	NN	gratitude
children	NNS	child
treat	VBP	treat
well	RB	well
longing	NN	longing
treated	VBD	treat
well	RB	well
operas	NNS	opera
film	NN	film
remind	VBP	remind
farewell	NN	farewell
concubine	NN	concubine
more	RBR	more
sophisticated	JJ	sophisticated
intricate	JJ	intricate
story	NN	story
reminds	VBZ	remind
dickens	NN	dickens
tale	NN	tale
days	NNS	day
children	NNS	child
almost	RB	almost
chattel	NN	chattel
plot	NN	plot
bit	NN	bit
predictable	JJ	predictable
bit	NN	bit
too	RB	too
sentimental	JJ	sentimental
but	CC	but
well	RB	well
worth	JJ	worth
time	NN	time
view	NN	view
heroism	NN	heroism
humanity	NN	humanity
history	NN	history
portrayed	VBD	portray
