this	DT	this
tremendous	JJ	tremendous
uplifting	VBG	uplift
spirits	NNS	spirit
time	NN	time
watch	VBP	watch
hear	VB	hear
funny	JJ	funny
little	JJ	little
things	NNS	thing
missed	VBD	miss
soundtrack	NN	soundtrack
unbelievable	JJ	unbelievable
mick	NN	<unknown>
jones	NNS	<unknown>
foreigner	NN	foreigner
chris	NP	Chris
difford	NP	<unknown>
squeeze	NN	squeeze
penned	VBD	pen
songs	NNS	song
making	VBG	make
strange	JJ	strange
fruit	NN	fruit
best	JJS	good
thing	NN	thing
hit	VBD	hit
today	NN	today
's	POS	's
music	NN	music
scene	NN	scene
unfortunately	RB	unfortunately
strange	JJ	strange
fruit	NN	fruit
strictly	RB	strictly
fictitional	JJ	<unknown>
washed	VBD	wash
up	RP	up
'	''	'
60	CD	@card@
's	POS	's
70	CD	@card@
's	POS	's
band	NN	band
never	RB	never
good	RB	good
begin	VB	begin
drug	NN	drug
use	NN	use
inner	JJ	inner
fighting	VBG	fight
wonders	NNS	wonder
while	IN	while
listening	VBG	listen
fanatstic	JJ	<unknown>
soundtrack	NN	soundtrack
fruit	NN	fruit
draw	NN	draw
inspiration	NN	inspiration
rolling	VBG	roll
stones	NNS	stone
deep	JJ	deep
purple	JJ	purple
david	NN	<unknown>
bowie	NN	Bowie
member	NN	member
fruit	NN	fruit
quite	RB	quite
memorable	JJ	memorable
stephen	NN	<unknown>
rea	NN	rea
stars	NNS	star
as	IN	as
dead	JJ	dead
broke	JJ	broke
tony	JJ	tony
costello	NN	<unknown>
asked	VBD	ask
festival	NN	festival
promoter	NN	promoter
reunite	VB	reunite
band	NN	band
reunion	NN	reunion
tour	NN	tour
hopes	VBZ	hope
reaping	VBG	reap
monetary	JJ	monetary
benefits	NNS	benefit
costello	NN	<unknown>
haply	RB	haply
approaches	VBZ	approach
ex	JJ	ex
roadie	NN	<unknown>
karen	NP	Karen
knowles	NP	Knowles
played	VBD	play
juliet	NN	<unknown>
aubrey	NNS	<unknown>
help	VBP	help
rekindle	VB	rekindle
flame	NN	flame
dream	NN	dream
long	RB	long
past	JJ	past
juliet	NN	<unknown>
gathers	VBZ	gather
up	RP	up
bitter	JJ	bitter
jimmy	NN	jimmy
nail	VBP	nail
les	FW	les
wickes	NNS	<unknown>
blundering	VBG	blunder
timothy	NN	timothy
spall	NN	spall
david	NN	<unknown>
'	''	'
beano	NN	beano
'	POS	'
baggot	NN	<unknown>
extravagantly	RB	extravagantly
glamouresque	JJ	<unknown>
ray	NN	ray
simms	NNS	Simm
nighy	RB	<unknown>
tumbling	VBG	tumble
ex	JJ	ex
roadie	NN	<unknown>
hippy	JJ	hippy
toker	NN	<unknown>
jokester	NN	jokester
hughie	NN	<unknown>
billy	NN	billy
connolly	RB	<unknown>
never	RB	never
let	VB	let
flame	NN	flame
burn	NN	burn
as	IN	as
juliet	NN	<unknown>
searches	NNS	search
member	NN	member
motley	NN	motley
band	NN	band
elusive	JJ	elusive
guitarist	NN	guitarist
songwriter	NN	songwriter
brian	JJ	<unknown>
lovell	NN	<unknown>
played	VBD	play
brooding	VBG	brood
bruce	NN	<unknown>
robinson	NN	<unknown>
reunited	VBN	reunite
members	NNS	member
squabble	VBP	squabble
just	RB	just
like	VB	like
old	JJ	old
times	NNS	time
fighting	VBG	fight
others	NNS	other
'	POS	'
rusty	JJ	rusty
talent	NN	talent
band	NN	band
given	VBN	give
chance	NN	chance
small	JJ	small
dutch	NN	dutch
tour	NN	tour
prepare	VBP	prepare
festival	NN	festival
young	JJ	young
hendrix	NN	<unknown>
like	IN	like
luke	NN	<unknown>
shand	NN	Shand
hans	NNS	<unknown>
matheson	NN	<unknown>
taking	VBG	take
place	NN	place
lovell	NN	<unknown>
crew	NN	crew
hits	VBZ	hit
road	NN	road
sparks	NNS	spark
fly	VBP	fly
as	IN	as
memories	NNS	memory
flame	NN	flame
forward	RB	forward
threatening	VBG	threaten
burn	VB	burn
unfinished	JJ	unfinished
goals	NNS	goal
prepared	JJ	prepared
laugh	NN	laugh
sing	NN	sing
cheer	NN	cheer
as	IN	as
memorable	JJ	memorable
characters	NNS	character
etch	VBP	etch
hearts	NNS	heart
