one	CD	one
most	JJS	most
heart	NN	heart
warming	VBG	warm
foreign	JJ	foreign
films	NNS	film
i	NNS	i
've	VBP	have
seen	VBN	see
young	JJ	young
girl	NN	girl
amazing	JJ	amazing
talent	NN	talent
stellar	JJ	stellar
performances	NNS	performance
doggie	JJ	doggie
old	JJ	old
man	NN	man
king	NN	king
masks	NNS	mask
liang	NN	<unknown>
living	VBG	live
boddhisatva	NN	<unknown>
spoiler	NN	spoiler
deplorable	JJ	deplorable
treatment	NN	treatment
children	NNS	child
especially	RB	especially
females	NNS	female
disturbing	VBG	disturb
loved	VBN	love
music	NN	music
original	JJ	original
chinese	NN	Chinese
dialog	NN	dialog
heightens	VBZ	heighten
emotional	JJ	emotional
intensity	NN	intensity
performances	NNS	performance
story	NN	story
enjoyable	JJ	enjoyable
family	NN	family
film	NN	film
although	IN	although
not	RB	not
very	RB	very
young	JJ	young
children	NNS	child
rated	VBD	rate
dvd	RB	<unknown>
release	VB	release
higher	JJR	high
soundtrack	NN	soundtrack
transferred	VBD	transfer
better	JJR	good
dvd	NN	<unknown>
transfer	NN	transfer
included	VBD	include
widescreen	NN	<unknown>
version	NN	version
