the	DT	the
most	RBS	most
moving	VBG	move
truly	RB	truly
eye	NN	eye
opening	NN	opening
documentary	NN	documentary
created	VBD	create
cried	VBN	cry
whole	JJ	whole
way	NN	way
start	NN	start
end	NN	end
watching	VBG	watch
immediately	RB	immediately
captured	VBN	capture
man	NN	man
's	POS	's
struggle	NN	struggle
live	JJ	live
pain	NN	pain
live	JJ	live
life	NN	life
granted	VBD	grant
time	NN	time
heard	VBD	hear
title	NN	title
almost	RB	almost
scared	VBN	scare
program	NN	program
hard	RB	hard
comprehend	VB	comprehend
living	VBG	live
agony	NN	agony
day	NN	day
year	NN	year
life	NN	life
truly	RB	truly
felt	VBD	feel
saddest	JJS	sad
documentary	NN	documentary
jonny	NN	<unknown>
picks	VBZ	pick
coffin	NN	coffin
imagine	VB	imagine
doing	VBG	do
more	JJR	more
though	IN	though
excruciating	JJ	excruciating
unbearable	JJ	unbearable
pain	NN	pain
still	RB	still
opened	VBD	open
up	RP	up
charity	NN	charity
debra	NN	<unknown>
jonny	NN	<unknown>
people	NNS	people
deserves	VBZ	deserve
true	JJ	true
respect	NN	respect
admiration	NN	admiration
definition	NN	definition
role	NN	role
model	NN	model
true	JJ	true
undeniable	JJ	undeniable
hero	NN	hero
