if	IN	if
0	CD	0
stars	NNS	star
rating	NN	rating
gladly	RB	gladly
hand	RB	hand
absolutely	RB	absolutely
horrid	JJ	horrid
pile	NN	pile
waste	NN	waste
fact	NN	fact
actual	JJ	actual
summary	NN	summary
perfectly	RB	perfectly
fine	JJ	fine
different	JJ	different
brilliant	JJ	brilliant
makes	VBZ	make
worse	JJR	bad
basic	JJ	basic
task	NN	task
locking	VBG	lock
up	RP	up
group	NN	group
people	NNS	people
experiment	NN	experiment
chamber	NN	chamber
fine	NN	fine
but	CC	but
wheres	NNS	<unknown>
experiment	VBP	experiment
all	DT	all
bunch	NN	bunch
unintelligent	JJ	unintelligent
surfers	NNS	surfer
blondes	NNS	blonde
chatting	VBG	chat
music	NN	music
culture	NN	culture
do	VBP	do
n't	RB	n't
know	VB	know
want	VBP	want
know	VB	know
challenges	NNS	challenge
pathetic	JJ	pathetic
silly	JJ	silly
whole	JJ	whole
point	NN	point
reality	NN	reality
tv	NN	tv
reality	NN	reality
set	NN	set
'	POS	'
challenge	NN	challenge
'	''	'
do	VBP	do
n't	RB	n't
make	VB	make
play	VB	play
exaggerated	JJ	exaggerated
props	NNS	prop
food	NN	food
stereotypical	JJ	stereotypical
cultural	JJ	cultural
elements	NNS	element
'	POS	'
friday	NN	Friday
night	NN	night
games	NNS	game
'	''	'
make	VB	make
actual	JJ	actual
challenge	NN	challenge
as	RB	as
'	''	'
earning	NN	earning
'	POS	'
prize	NN	prise
money	NN	money
thats	NNS	<unknown>
fine	RB	fine
actually	RB	actually
earnt	JJ	<unknown>
people	NNS	people
nuts	NNS	nut
make	VBP	make
better	RBR	well
actual	JJ	actual
idea	NN	idea
glorious	JJ	glorious
but	CC	but
ai	VBP	ai
n't	RB	n't
gonna	VBG	gonna
happen	VB	happen
