this	DT	this
great	JJ	great
failed	JJ	failed
register	NN	register
higher	JJR	high
rating	NN	rating
than	IN	than
5	CD	5
not	RB	not
great	JJ	great
portrayal	NN	portrayal
life	NN	life
christ	NN	<unknown>
ruthless	JJ	ruthless
sensationalism	NN	sensationalism
passion	NN	passion
christ	NN	<unknown>
johnny	NN	johnny
cash	NN	cash
did	VBD	do
great	JJ	great
things	NNS	thing
god	NN	god
amazingly	RB	amazingly
shunned	VBD	shun
neglected	JJ	neglected
areas	NNS	area
matter	VBP	matter
most	RBS	most
like	JJ	like
churches	NNS	church
film	NN	film
itself	PP	itself
took	VBD	take
less	JJR	less
than	IN	than
month	NN	month
film	NN	film
as	IN	as
johnny	NN	johnny
felt	VBD	feel
strong	JJ	strong
presence	NN	presence
god	NN	god
guiding	VBG	guide
great	JJ	great
credit	NN	credit
involved	VBN	involve
overwhelmingly	RB	overwhelmingly
sincere	JJ	sincere
always	RB	always
cherished	JJ	cherished
fans	NNS	fan
least	JJS	least
billy	NN	billy
graham	NN	graham
crusade	NN	crusade
rated	VBN	rate
highly	RB	highly
enough	RB	enough
use	VB	use
as	IN	as
prime	JJ	prime
source	NN	source
education	NN	education
new	JJ	new
christians	NNS	Christian
thanks	NNS	thank
fox	NN	fox
producing	VBG	produce
as	IN	as
walk	NN	walk
line	NN	line
proved	VBD	prove
freakish	JJ	freakish
man	NN	man
survived	VBD	survive
yet	RB	yet
produced	VBN	produce
underrated	VBN	underrate
masterpiece	NN	masterpiece
not	RB	not
canonized	VBD	canonize
popular	JJ	popular
vote	NN	vote
as	IN	as
production	NN	production
proves	VBZ	prove
summary	NN	summary
believe	VB	believe
film	NN	film
worlds	NNS	world
great	JJ	great
documentaries	NNS	documentary
as	IN	as
forthright	RB	forthright
honestly	RB	honestly
portrayed	VBN	portray
great	JJ	great
witness	NN	witness
christian	NN	Christian
faith	NN	faith
