this	DT	this
film	NN	film
makes	VBZ	make
say	VB	say
2	CD	2
things	NNS	thing
1	CD	1
much	RB	much
better	JJR	good
than	IN	than
acting	VBG	act
writing	NN	writing
directing	VBG	direct
2	CD	2
bad	JJ	bad
leave	NN	leave
review	NN	review
warn	VBP	warn
looks	NNS	look
as	RB	as
shot	VBD	shoot
flip	JJ	flip
video	NN	video
too	RB	too
believe	VBP	believe
friend	NN	friend
told	VBD	tell
watch	NN	watch
vendetta	NN	vendetta
against	IN	against
noticed	JJ	noticed
positive	JJ	positive
posts	NNS	post
home	NN	home
video	NN	video
left	VBD	leave
crew	NN	crew
members	NNS	member
people	NNS	people
with	IN	with
film	NN	film
worst	JJS	bad
3	CD	3
seen	VBN	see
hopefully	RB	hopefully
writers	NNS	writer
director	NN	director
leave	VBP	leave
business	NN	business
not	RB	not
talented	JJ	talented
enough	JJ	enough
commercials	NNS	commercial
