this	DT	this
favorite	NN	favorite
think	VBP	think
utterly	RB	utterly
brilliant	JJ	brilliant
thanks	NNS	thank
david	JJ	<unknown>
chase	NN	chase
bringing	VBG	bring
life	NN	life
season	NN	season
11	CD	@card@
sopranos	NNS	soprano
5	CD	5
52	CD	@card@
46	CD	@card@
long	JJ	long
4	CD	4
5	CD	5
53	CD	@card@
denial	NN	denial
anger	NN	anger
acceptance	NN	acceptance
5	CD	5
54	CD	@card@
meadowlands	NP	meadowlands
4	CD	4
55	CD	@card@
college	NN	college
6	CD	6
pax	NN	pax
soprana	NN	<unknown>
5	CD	5
57	CD	@card@
neck	NN	neck
4	CD	4
5	CD	5
58	CD	@card@
legend	NN	legend
tennessee	NN	<unknown>
moltisanti	NP	<unknown>
5	CD	5
59	CD	@card@
boca	NN	<unknown>
4	CD	4
5	CD	5
510	CD	@card@
hit	NN	hit
hit	VBD	hit
3	CD	3
5	CD	5
511	CD	@card@
nobody	NN	nobody
knows	VBZ	know
5	CD	5
512	CD	@card@
isabella	NN	Isabella
5	CD	5
513	CD	@card@
dream	NN	dream
jeannie	NN	<unknown>
cusamano	NP	<unknown>
5	CD	5
5	CD	5
