i	NP	i
very	RB	very
excited	VBD	excite
favorite	JJ	favorite
book	NN	book
did	VBD	do
n't	RB	n't
realize	VB	realize
disney	NN	<unknown>
too	RB	too
late	RB	late
appalled	VBN	appall
many	JJ	many
omissions	NNS	omission
crucial	JJ	crucial
parts	NNS	part
story	NN	story
as	IN	as
4th	JJ	4th
grader	NN	grader
's	POS	's
book	NN	book
report	NN	report
novel	NN	novel
meg	NN	<unknown>
did	VBD	do
well	RB	well
school	VB	school
neither	DT	neither
nor	CC	nor
father	NN	father
wore	VBD	wear
glasses	NNS	glass
mrs	VBG	<unknown>
murray	NN	<unknown>
meg	NN	<unknown>
's	POS	's
mother	NN	mother
not	RB	not
portrayed	VBN	portray
as	IN	as
much	JJ	much
scientist	NN	scientist
all	DT	all
left	JJ	left
kitchen	NN	kitchen
laboratory	NN	laboratory
replaced	VBD	replace
internet	NN	Internet
that	WDT	that
's	VBZ	be
just	RB	just
beginning	VBG	begin
halfway	RB	halfway
myself	PP	myself
shouting	VBG	shout
screen	NN	screen
much	JJ	much
dismay	NN	dismay
people	NNS	people
watching	NN	watching
had	VBD	have
n't	RB	n't
read	VBN	read
book	NN	book
wish	VBP	wish
more	JJR	more
thumbs	NNS	thumb
thumbs	VBZ	thumb
good	JJ	good
thing	NN	thing
say	VBP	say
person	NN	person
not	RB	not
read	VBD	read
book	NN	book
kinda	RB	kinda
alright	RB	alright
