when	WRB	when
tradition	NN	tradition
dictates	VBZ	dictate
artist	NN	artist
pass	VB	pass
great	JJ	great
skills	NNS	skill
magic	JJ	magic
heir	NN	heir
aging	VBG	age
very	RB	very
proud	JJ	proud
street	NN	street
performer	NN	performer
known	VBN	know
all	RB	all
as	IN	as
"	``	"
the	DT	the
king	NN	king
masks	VBZ	mask
"	``	"
desperate	JJ	desperate
young	JJ	young
man	NN	man
apprentice	NN	apprentice
adopt	VBP	adopt
cultivate	VB	cultivate
warmth	NN	warmth
humanity	NN	humanity
tho	NN	<unknown>
paying	VBG	pay
few	JJ	few
dollars	NNS	dollar
little	JJ	little
person	NN	person
displaced	VBN	displace
china	NN	china
's	POS	's
devastating	JJ	devastating
natural	JJ	natural
disasters	NNS	disaster
case	NN	case
massive	JJ	massive
flooding	VBG	flood
1930	NP	@card@
's	POS	's
takes	VBZ	take
new	JJ	new
7	CD	7
year	NN	year
old	JJ	old
companion	NN	companion
straw	NN	straw
houseboat	NN	houseboat
live	VBP	live
prized	JJ	prized
beautiful	JJ	beautiful
monkey	NN	monkey
"	``	"
general	JJ	general
"	''	"
discover	VB	discover
child	NN	child
child	NN	child
life	NN	life
instantly	RB	instantly
transformed	VBN	transform
as	IN	as
love	NN	love
feels	VBZ	feel
little	JJ	little
slave	NN	slave
girl	NN	girl
entwined	VBD	entwine
stupifying	VBG	<unknown>
tradition	NN	tradition
requires	VBZ	require
pass	VB	pass
art	NN	art
young	JJ	young
man	NN	man
many	JJ	many
stories	NNS	storey
inside	IN	inside
many	JJ	many
people	NNS	people
touched	VBD	touch
culture	NN	culture
china	NN	china
opens	VBZ	open
itself	PP	itself
western	JJ	western
eye	NN	eye
observe	VBP	observe
thousands	NNS	thousand
years	NNS	year
heritage	NN	heritage
boil	NN	boil
teacup	NN	teacup
drama	NN	drama
few	JJ	few
leave	NN	leave
dvd	NN	<unknown>
dry	JJ	dry
eye	NN	eye
technical	JJ	technical
transfer	NN	transfer
itself	PP	itself
not	RB	not
great	JJ	great
as	IN	as
sound	JJ	sound
levels	NNS	level
all	DT	all
meter	NN	meter
actually	RB	actually
video	JJ	video
transfer	NN	transfer
lines	NNS	line
parts	NNS	part
highly	RB	highly
recommended	VBD	recommend
happy	JJ	happy
9	CD	9
10	CD	@card@
stars	NNS	star
