when	WRB	when
thinking	VBG	think
captivity	NN	captivity
many	JJ	many
words	NNS	word
come	VBP	come
mind	NN	mind
uninteresting	VBG	uninterest
unentertaining	JJ	<unknown>
unsuspensful	JJ	<unknown>
unsexy	JJ	<unknown>
unfathomable	JJ	unfathomable
unwatchable	NNS	<unknown>
used	VBN	use
hate	VBP	hate
mid	JJ	mid
late	JJ	late
nineties	NNS	ninety
basically	RB	basically
ripoffs	NNS	ripoff
scream	NN	scream
but	CC	but
new	JJ	new
saw	NN	saw
knockoffs	NNS	knockoff
beginning	NN	beginning
make	VBP	make
films	NNS	film
look	VBP	look
like	IN	like
classics	NNS	classic
still	RB	still
pander	VBP	pander
demographic	JJ	demographic
successful	JJ	successful
doing	NN	doing
but	CC	but
add	VB	add
new	JJ	new
level	NN	level
degeneracy	NN	degeneracy
make	VBP	make
fourteen	NN	fourteen
year	NN	year
old	JJ	old
girls	NNS	girl
they	PP	they
're	VBP	be
aimed	VBN	aim
feel	NN	feel
like	IN	like
they	PP	they
're	VBP	be
hardcore	JJ	hardcore
hip	JJ	hip
load	NN	load
boring	JJ	boring
crap	NN	crap
hell	NN	hell
happened	VBD	happen
larry	NN	<unknown>
cohen	NN	<unknown>
has	VBZ	have
n't	RB	n't
attached	VBN	attach
good	JJ	good
1993	CD	@card@
still	RB	still
surprised	VBN	surprise
to	TO	to
bad	JJ	bad
surprised	JJ	surprised
movie	NN	movie
's	POS	's
love	NN	love
interest	NN	interest
turned	VBD	turn
psychopaths	NNS	psychopath
did	VBD	do
not	RB	not
know	VB	know
saw	VBD	see
never	RB	never
life	NN	life
seen	VBN	see
