when	WRB	when
really	RB	really
began	VBD	begin
interested	JJ	interested
age	NN	age
big	JJ	big
list	NN	list
'	''	'
must	MD	must
see	VB	see
'	''	'
films	NNS	film
blockbuster	JJ	blockbuster
rent	NN	rent
weekend	NN	weekend
not	RB	not
all	DT	all
audiences	NNS	audience
mother	NN	mother
nuts	NNS	nut
remember	VBP	remember
films	NNS	film
list	VB	list
"	''	"
a	DT	a
chorus	NN	chorus
line	NN	line
"	``	"
never	RB	never
dream	VBP	dream
come	VB	come
true	JJ	true
course	NN	course
lost	VBD	lose
list	NN	list
think	VB	think
really	RB	really
interesting	JJ	interesting
things	NNS	thing
watch	VBP	watch
mean	VB	mean
"	''	"
a	DT	a
chorus	NN	chorus
line	NN	line
"	''	"
stage	NN	stage
play	NN	play
turned	VBD	turn
film	NN	film
know	VB	know
it	PP	it
's	POS	's
lot	NN	lot
nowadays	RB	nowadays
but	CC	but
little	RB	little
different	JJ	different
apparently	RB	apparently
film	NN	film
special	NN	special
most	JJS	most
musicals	NNS	musical
today	NN	today
chance	NN	chance
camera	NN	camera
gives	VBZ	give
free	RB	free
create	VB	create
different	JJ	different
sceneries	NNS	scenery
characters	NNS	character
different	JJ	different
places	NNS	place
"	''	"
a	DT	a
chorus	NN	chorus
line	NN	line
"	''	"
born	VBN	bear
theater	NN	theater
stage	NN	stage
as	IN	as
play	NN	play
dies	VBZ	die
place	NN	place
as	IN	as
following	VBG	follow
big	JJ	big
audition	NN	audition
held	VBD	hold
recognized	VBN	recognize
choreographer	NN	choreographer
zach	NN	<unknown>
michael	NN	<unknown>
douglas	NNS	<unknown>
richard	NN	<unknown>
atenborough	NN	<unknown>
directs	VBZ	direct
big	JJ	big
number	NN	number
dancers	NNS	dancer
as	RB	as
try	VBP	try
job	NN	job
happens	VBZ	happen
day	NN	day
tension	NN	tension
not	RB	not
knowing	VBG	know
stress	VB	stress
having	VBG	have
learn	VB	learn
numbers	NNS	number
silent	JJ	silent
competition	NN	competition
dancersand	NN	<unknown>
all	RB	all
occurs	VBZ	occur
stage	NN	stage
douglas	NNS	<unknown>
puts	VBZ	put
dancer	NN	dancer
spotlight	NN	spotlight
makes	VBZ	make
talk	VB	talk
personal	JJ	personal
life	NN	life
most	RBS	most
horrible	JJ	horrible
experiences	NNS	experience
hundreds	NNS	hundred
dancers	NNS	dancer
all	DT	all
fantastic	NN	fantastic
but	CC	but
list	NN	list
shortens	VBZ	shorten
as	IN	as
hours	NNS	hour
like	IN	like
saw	NN	saw
recently	RB	recently
"	``	"
a	DT	a
prairie	NN	prairie
home	NN	home
companion	NN	companion
"	''	"
broadcast	NN	broadcast
radio	NN	radio
atenborough	NN	<unknown>
deals	NNS	deal
problem	NN	problem
continuity	NN	continuity
stage	NN	stage
things	NNS	thing
going	VBG	go
time	NN	time
does	VBZ	do
n't	RB	n't
stop	VB	stop
again	RB	again
do	VB	do
n't	RB	n't
atenborough	JJ	<unknown>
cut	NN	cut
lot	NN	lot
shoot	NN	shoot
but	CC	but
sure	RB	sure
does	VBZ	do
n't	RB	n't
look	VB	look
like	IN	like
it	PP	it
's	VBZ	be
great	RB	great
directing	VBG	direct
editing	VBG	edit
john	NN	john
bloom	NN	bloom
work	NN	work
but	CC	but
little	JJ	little
stage	NN	stage
wonder	NN	wonder
camerawith	NN	<unknown>
setting	VBG	set
ronnie	NP	Ronnie
taylor	NP	Taylor
's	POS	's
cinematography	NN	cinematography
finds	VBZ	find
way	NN	way
making	VBG	make
close	JJ	close
ups	NNS	up
certain	JJ	certain
characters	NNS	character
zooming	VBG	zoom
showing	VBG	show
stage	NN	stage
different	JJ	different
perspective	NN	perspective
giving	VBG	give
beautiful	JJ	beautiful
view	NN	view
new	JJ	new
york	VBP	york
crucial	JJ	crucial
moment	NN	moment
douglas	NNS	<unknown>
tells	VBZ	tell
ones	NNS	one
left	RB	left
"	''	"
before	IN	before
start	NN	start
eliminating	VBG	eliminate
you	PP	you
're	VBP	be
all	DT	all
terrific	JJ	terrific
i	NP	i
'd	MD	will
like	VB	like
hire	VB	hire
all	RB	all
but	CC	but
ca	MD	ca
n't	RB	n't
"	``	"
think	VBP	think
reality	NN	reality
shows	VBZ	show
today	NN	today
thing	NN	thing
counts	VBZ	count
singing	VBG	sing
dancing	NN	dancing
talent	NN	talent
jury	NN	jury
always	RB	always
says	VBZ	say
exact	JJ	exact
words	NNS	word
contestants	NNS	contestant
leaving	VBG	leave
not	RB	not
good	JJ	good
it	PP	it
's	VBZ	be
hard	RB	hard
imagine	VB	imagine
least	JJS	least
all	DT	all
really	RB	really
terrific	JJ	terrific
tell	VBP	tell
stories	NNS	storey
characters	NNS	character
use	VBP	use
songs	NNS	song
second	JJ	second
stage	NN	stage
takes	VBZ	take
new	JJ	new
life	NN	life
literally	RB	literally
'	''	'
a	DT	a
dream	NN	dream
come	VBN	come
true	JJ	true
'	''	'
music	NN	music
marvin	NN	<unknown>
hamlisch	NN	<unknown>
lyrics	NNS	lyric
edward	JJ	<unknown>
kleban	NN	<unknown>
make	VB	make
theater	NN	theater
film	NN	film
transition	NN	transition
flaws	NNS	flaw
showing	VBG	show
dancers	NNS	dancer
'	POS	'
feelings	NNS	feeling
letting	VBG	let
wonderful	JJ	wonderful
choreographies	NNS	choreography
michael	NP	Michael
bennett	NP	Bennett
book	NN	book
theater	NN	theater
flawless	JJ	flawless
very	RB	very
short	JJ	short
screenplay	NN	screenplay
arnold	NP	Arnold
schulman	NP	Schulman
very	RB	very
touching	VBG	touch
times	NNS	time
it	PP	it
's	VBZ	be
not	RB	not
song	NN	song
word	NN	word
but	CC	but
"	``	"
a	DT	a
chorus	NN	chorus
line	NN	line
"	``	"
it	PP	it
's	VBZ	be
impossible	JJ	impossible
not	RB	not
moved	VBN	move
rehearsal	NN	rehearsal
breaks	VBZ	break
audition	NN	audition
cassie	NN	<unknown>
special	JJ	special
dancer	NN	dancer
played	VBD	play
alyson	NN	<unknown>
reed	NN	reed
takes	VBZ	take
stage	NN	stage
convince	VB	convince
douglas	NNS	<unknown>
character	NN	character
words	NNS	word
"	``	"
let	VB	let
dance	VB	dance
you	PP	you
"	``	"
never	RB	never
sounded	VBD	sound
more	JJR	more
honest	JJ	honest
more	RBR	more
beautifully	RB	beautifully
music	NN	music
lyrics	NNS	lyric
