it	PP	it
's	VBZ	be
while	IN	while
i	NP	i
've	VBP	have
watched	VBN	watch
series	NN	series
but	CC	but
i	NP	i
'm	VBP	be
refreshing	VBG	refresh
memory	NN	memory
very	RB	very
funny	JJ	funny
based	VBN	base
classic	JJ	classic
series	NN	series
johnny	NN	johnny
knoxville	NP	Knoxville
seann	NP	Seann
william	NP	William
scott	NP	Scott
hilarious	JJ	hilarious
bo	NN	<unknown>
luke	NN	<unknown>
duke	NN	duke
help	NN	help
uncle	NN	uncle
jesse	NN	<unknown>
run	NN	run
moonshine	NN	moonshine
general	JJ	general
lee	JJ	lee
boss	NN	boss
hogg	NN	<unknown>
forces	VBZ	force
dukes	NN	dukes
farm	NN	farm
bo	NN	<unknown>
luke	NN	<unknown>
sneak	NN	sneak
hogg	NN	<unknown>
's	POS	's
local	JJ	local
construction	NN	construction
site	NN	site
samples	NNS	sample
coal	VBP	coal
soon	RB	soon
realize	VB	realize
boss	NN	boss
hogg	NN	<unknown>
gonna	VBG	gonna
strip	NN	strip
hazzard	NN	<unknown>
county	NN	county
unless	IN	unless
dukes	NNS	duke
stop	VBP	stop
help	VB	help
beautiful	JJ	beautiful
cousin	NN	cousin
daisy	NN	daisy
problems	NNS	problem
burt	NP	Burt
reynolds	NNS	<unknown>
was	VBD	be
n't	RB	n't
right	JJ	right
boss	NN	boss
hogg	NN	<unknown>
sheriff	NN	sheriff
rosco	NN	<unknown>
p	NN	p
coltrane	NN	<unknown>
way	NN	way
too	RB	too
serious	JJ	serious
than	IN	than
highly	RB	highly
recommend	VB	recommend
dukes	NN	dukes
hazzard	NN	<unknown>
