the	DT	the
half	NN	half
ok	VB	ok
but	CC	but
half	RB	half
really	RB	really
really	RB	really
disappointed	VBN	disappoint
it	PP	it
's	VBZ	be
funny	JJ	funny
producers	NNS	producer
admitted	VBN	admit
did	VBD	do
n't	RB	n't
clue	VB	clue
ending	VBG	end
really	RB	really
showed	VBD	show
whats	NNS	<unknown>
really	RB	really
sad	JJ	sad
write	VBP	write
lines	NNS	line
comment	VB	comment
minimum	JJ	minimum
able	JJ	able
post	NN	post
really	RB	really
did	VBD	do
n't	RB	n't
want	VB	want
include	VBP	include
spoilers	NNS	spoiler
qualify	VB	qualify
remarks	NNS	remark
is	VBZ	be
n't	RB	n't
really	RB	really
worth	JJ	worth
effort	NN	effort
battlestar	NN	<unknown>
galatica	NN	<unknown>
came	VBD	come
really	RB	really
excited	VBN	excite
prospect	NN	prospect
better	JJR	good
remake	NN	remake
did	VBD	do
n't	RB	n't
happen	VB	happen
season	NN	season
border	NN	border
space	NN	space
porn	NN	porn
eventually	RB	eventually
cleaned	VBD	clean
up	RP	up
bit	NN	bit
actually	RB	actually
pretty	RB	pretty
fair	JJ	fair
drama	NN	drama
started	VBD	start
watching	VBG	watch
again	RB	again
but	CC	but
end	VB	end
series	NN	series
kara	NN	<unknown>
cyclon	NN	<unknown>
god	NN	god
angel	NN	angel
baltar	NN	<unknown>
pretty	RB	pretty
dumb	JJ	dumb
