i	NP	i
just	RB	just
finished	VBD	finish
watching	VBG	watch
film	NN	film
very	RB	very
enjoyable	JJ	enjoyable
quiet	JJ	quiet
little	JJ	little
film	NN	film
does	VBZ	do
n't	RB	n't
overwhelm	VB	overwhelm
special	JJ	special
effects	NNS	effect
"	``	"
big	JJ	big
"	''	"
performances	NNS	performance
simply	RB	simply
takes	VBZ	take
lives	NNS	life
people	NNS	people
living	VBG	live
small	JJ	small
hamlet	NN	hamlet
backwoods	NN	backwoods
north	NN	north
carolina	NN	<unknown>
henry	NN	henry
thomas	NNS	<unknown>
gives	VBZ	give
good	JJ	good
performance	NN	performance
as	IN	as
raymond	NN	<unknown>
toker	NN	<unknown>
young	JJ	young
loner	NN	loner
finds	VBZ	find
baby	NN	baby
abandoned	VBN	abandon
woods	NNS	wood
toker	NN	<unknown>
's	POS	's
search	NN	search
baby	NN	baby
's	POS	's
parents	NNS	parent
takes	VBZ	take
journey	NN	journey
profound	JJ	profound
impact	NN	impact
life	NN	life
david	NN	<unknown>
srathairn	NN	<unknown>
plays	VBZ	play
truman	NN	<unknown>
lester	NN	<unknown>
slimy	JJ	slimy
conman	NN	<unknown>
ulterior	JJ	ulterior
motive	NN	motive
david	NN	<unknown>
plays	VBZ	play
bad	JJ	bad
guy	NN	guy
perfection	NN	perfection
much	RB	much
more	JJR	more
film	NN	film
than	IN	than
meets	NNS	meet
eye	NN	eye
filmed	VBD	film
location	NN	location
north	NN	north
carolina	NN	<unknown>
wonderful	JJ	wonderful
sound	NN	sound
track	NN	track
traditional	JJ	traditional
music	NN	music
worth	NN	worth
watching	VBG	watch
