the	DT	the
filming	VBG	film
pleasant	JJ	pleasant
environment	NN	environment
keenly	RB	keenly
realistic	JJ	realistic
liked	VBD	like
boldly	RB	boldly
redresses	VBZ	redress
conceptions	NNS	conception
many	JJ	many
difficult	JJ	difficult
moral	JJ	moral
social	JJ	social
morays	NNS	moray
1930	CD	@card@
's	POS	's
chinese	JJ	Chinese
mainland	JJ	mainland
countryside	NN	countryside
as	IN	as
well	RB	well
as	RB	as
more	RBR	more
basic	JJ	basic
human	JJ	human
questions	NNS	question
felt	VBD	feel
real	JJ	real
sense	NN	sense
times	NNS	time
recreated	VBD	recreate
splendid	JJ	splendid
shots	NNS	shot
traditional	JJ	traditional
chinese	JJ	Chinese
theatre	NN	theatre
purist	NN	purist
depictions	NNS	depiction
street	NN	street
living	VBG	live
worthwhile	JJ	worthwhile
experience	NN	experience
interwoven	VBN	interweave
role	NN	role
buddhism	NN	Buddhism
plays	NNS	play
probably	RB	probably
most	RBS	most
true	JJ	true
form	NN	form
menial	JJ	menial
philosophic	JJ	philosophic
aspect	NN	aspect
most	RBS	most
effective	JJ	effective
i	NNS	i
've	VBP	have
seen	VBN	see
chinese	JJ	Chinese
film	NN	film
casting	VBG	cast
great	JJ	great
images	NNS	image
memorable	JJ	memorable
acting	VBG	act
solid	JJ	solid
enough	RB	enough
thematically	RB	thematically
puerile	JJ	puerile
but	CC	but
still	RB	still
rich	JJ	rich
enough	JJ	enough
compliment	NN	compliment
vehicle	NN	vehicle
expression	NN	expression
