i	NP	i
love	NN	love
munna	NN	<unknown>
bhai	NN	<unknown>
mbbs	NNS	<unknown>
but	CC	but
"	``	"
lagge	NN	<unknown>
raho	NN	<unknown>
"	''	"
sux	NNS	<unknown>
really	RB	really
sux	NN	<unknown>
never	RB	never
seen	VBN	see
boring	JJ	boring
whole	JJ	whole
life	NN	life
high	JJ	high
ratings	NNS	rating
really	RB	really
astonished	VBD	astonish
wat	NN	wat
happened	VBD	happen
taste	NN	taste
indian	JJ	Indian
cinema	NN	cinema
viewers	NNS	viewer
spoiler	NN	spoiler
educated	VBN	educate
girl	NN	girl
needs	VBZ	need
advice	NN	advice
bhai	NN	<unknown>
people	NNS	people
discussing	VBG	discuss
personal	JJ	personal
prob	NN	<unknown>
phones	NNS	phone
come	VBP	come
man	NN	man
world	NN	world
u	NN	u
r	NN	r
agree	VBP	agree
films	NNS	film
fictitious	JJ	fictitious
but	CC	but
things	NNS	thing
really	RB	really
indigestible	JJ	indigestible
2	CD	2
10	CD	@card@
2	CD	2
stars	NNS	star
15	CD	@card@
mins	NNS	min
good	JJ	good
starting	VBG	start
