i	NP	i
speechless	JJ	speechless
devastated	VBD	devastate
viewing	VBG	view
many	JJ	many
parts	NNS	part
grey	VBP	grey
gardens	NNS	garden
very	RB	very
funny	JJ	funny
unbelievably	RB	unbelievably
surreal	JJ	surreal
documentary	NN	documentary
not	RB	not
really	RB	really
gives	VBZ	give
fellini	NN	<unknown>
david	NN	<unknown>
lynch	VB	lynch
run	VBN	run
money	NN	money
weirdsville	NN	<unknown>
sweepstakes	NNS	sweepstake
kept	VBD	keep
focusing	VBG	focus
women	NNS	woman
clinically	RB	clinically
way	RB	way
eccentric	JJ	eccentric
reveal	NN	reveal
humanity	NN	humanity
most	JJS	most
surprising	JJ	surprising
ways	NNS	way
wonder	VBP	wonder
retreat	NN	retreat
world	NN	world
prompted	VBD	prompt
stuffiness	NN	stuffiness
life	NN	life
unreal	JJ	unreal
blue	JJ	blue
blood	NN	blood
universe	NN	universe
abuse	NN	abuse
simply	RB	simply
streak	NN	streak
defiance	NN	defiance
rebellion	NN	rebellion
spiralled	VBD	spiral
control	NN	control
took	VBD	take
life	NN	life
its	PP$	its
'	POS	'
greatest	JJS	great
films	NNS	film
comes	VBZ	come
dangerously	RB	dangerously
close	VB	close
exploitation	NN	exploitation
going	VBG	go
completely	RB	completely
edge	NN	edge
as	IN	as
edies	NNS	<unknown>
thing	NN	thing
kept	VBD	keep
noting	VBG	note
things	NNS	thing
like	IN	like
gin	NN	gin
bottles	NNS	bottle
rubble	NN	rubble
strewn	VBN	strew
bedroom	NN	bedroom
cats	NNS	cat
urinating	VBG	urinate
bed	NN	bed
racoons	NNS	racoons
emerging	VBG	emerge
holes	NNS	hole
walls	NNS	wall
final	JJ	final
scene	NN	scene
incredibly	RB	incredibly
sad	JJ	sad
like	IN	like
child	NN	child
's	POS	's
birthday	NN	birthday
party	NN	party
gone	VBN	go
seriously	RB	seriously
wrong	JJ	wrong
very	RB	very
definitely	RB	definitely
worth	JJ	worth
seeing	NN	seeing
seeking	VBG	seek
you	PP	you
'll	MD	will
never	RB	never
forget	VB	forget
but	CC	but
very	RB	very
disturbing	JJ	disturbing
