i	NP	i
vote	NN	vote
10	CD	@card@
10	CD	@card@
rare	JJ	rare
chance	NN	chance
happens	VBZ	happen
review	NN	review
takes	VBZ	take
pity	NN	pity
whisks	NNS	whisk
hollywood	NN	<unknown>
involves	VBZ	involve
freaky	JJ	freaky
funny	JJ	funny
world	NN	world
but	CC	but
all	DT	all
seriousness	NN	seriousness
good	JJ	good
episode	NN	episode
obviously	RB	obviously
finding	VBG	find
it	PP	it
's	POS	's
feet	NNS	foot
but	CC	but
it	PP	it
's	VBZ	have
got	VBN	get
silverman	NN	<unknown>
weirdness	NN	weirdness
running	VBG	run
all	DT	all
way	NN	way
it	PP	it
's	VBZ	be
not	RB	not
laugh	VB	laugh
loud	JJ	loud
sort	NN	sort
comedy	NN	comedy
but	CC	but
that	DT	that
's	VBZ	be
good	JJ	good
thing	NN	thing
too	RB	too
much	JJ	much
laughter	NN	laughter
track	NN	track
would	MD	would
n't	RB	n't
right	RB	right
cues	VBZ	cue
laugh	VB	laugh
it	PP	it
's	POS	's
audience	NN	audience
hear	VBP	hear
inner	JJ	inner
jester	NN	jester
laughing	VBG	laugh
absurdness	NN	absurdness
all	RB	all
easily	RB	easily
as	IN	as
bizarro	NN	<unknown>
drew	VBD	draw
carey	NN	<unknown>
it	PP	it
's	VBZ	be
weird	JJ	weird
characters	NNS	character
incredibly	RB	incredibly
strong	JJ	strong
central	JJ	central
character	NN	character
well	RB	well
worth	JJ	worth
watch	NN	watch
look	NN	look
forward	RB	forward
following	VBG	follow
episodes	NNS	episode
very	RB	very
good	JJ	good
chance	NN	chance
usual	JJ	usual
comedy	NN	comedy
ps	NN	<unknown>
sarah	NN	<unknown>
