i	NP	i
saw	VBD	see
thief	NN	thief
as	IN	as
child	NN	child
makes	VBZ	make
almost	RB	almost
as	RB	as
old	JJ	old
as	IN	as
jinn	NN	jinn
guess	NN	guess
as	IN	as
any	DT	any
kid	NN	kid
delighted	JJ	delighted
imagination	NN	imagination
inventiveness	NN	inventiveness
energy	NN	energy
film	NN	film
years	NNS	year
later	RBR	later
realized	VBD	realize
much	JJ	much
satire	NN	satire
wit	NN	wit
script	NN	script
missed	VBD	miss
viewing	NN	viewing
never	RB	never
passed	VBD	pass
up	RP	up
opportunity	NN	opportunity
watch	NN	watch
intervening	VBG	intervene
years	NNS	year
addition	NN	addition
script	NN	script
production	NN	production
transcends	VBZ	transcend
fantasy	NN	fantasy
genre	NN	genre
korda	NN	<unknown>
storyteller	NN	storyteller
very	RB	very
best	JJS	good
thief	NN	thief
as	IN	as
child	NN	child
know	VBP	know
you`ve	NN	<unknown>
great	JJ	great
time	NN	time
thief	NN	thief
as	IN	as
adult	NN	adult
know	VBP	know
you`ve	NN	<unknown>
seen	VBN	see
masterpiece	NN	masterpiece
it`s	NNS	<unknown>
as	IN	as
timeless	JJ	timeless
as	IN	as
story	NN	story
treats	VBZ	treat
amazing	JJ	amazing
work	NN	work
thomas	NNS	<unknown>
mccarthy	JJ	<unknown>
