i	NP	i
enjoyed	VBD	enjoy
still	RB	still
crazy	JJ	crazy
more	JJR	more
than	IN	than
any	DT	any
film	NN	film
seen	VBN	see
years	NNS	year
successful	JJ	successful
band	NN	band
70	CD	@card@
's	VBZ	be
decide	VB	decide
try	VB	try
start	NN	start
playing	NN	playing
gigs	VBZ	gig
seedy	JJ	seedy
european	JJ	European
venues	NNS	venue
hilarious	JJ	hilarious
results	NNS	result
music	NN	music
fantastic	JJ	fantastic
script	NN	script
acting	VBG	act
terrific	JJ	terrific
characters	NNS	character
spot	VBP	spot
especially	RB	especially
lead	VB	lead
singer	NN	singer
high	JJ	high
heavy	JJ	heavy
metal	NN	metal
voice	NN	voice
makeup	NN	makeup
personality	NN	personality
problems	NNS	problem
concert	NN	concert
end	NN	end
unreal	JJ	unreal
preferably	RB	preferably
cinema	NN	cinema
good	JJ	good
sound	JJ	sound
happy	JJ	happy
