how	WRB	how
director	NN	director
altman	NN	<unknown>
's	POS	's
experience	NN	experience
expect	VBP	expect
want	VBP	want
spend	VB	spend
time	NN	time
care	NN	care
happens	VBZ	happen
lead	JJ	lead
character	NN	character
neurotic	NN	neurotic
whiner	NN	whiner
jerk	VBP	jerk
no	DT	no
redeeming	JJ	redeeming
qualities	NNS	quality
central	JJ	central
puzzle	NN	puzzle
profoundly	RB	profoundly
confused	VBN	confuse
piece	NN	piece
work	NN	work
monstrous	JJ	monstrous
piece	NN	piece
trash	NN	trash
addition	NN	addition
crippling	JJ	crippling
flaw	NN	flaw
plot	NN	plot
line	NN	line
requires	VBZ	require
serious	JJ	serious
concentration	NN	concentration
follow	VB	follow
setup	NN	setup
branagh	NNS	<unknown>
character	NN	character
walks	VBZ	walk
obviously	RB	obviously
setup	NN	setup
start	NN	start
inclined	JJ	inclined
wonder	NN	wonder
writer	NN	writer
director	NN	director
totally	RB	totally
lost	VBD	lose
respect	NN	respect
audience	NN	audience
issue	NN	issue
core	NN	core
film	NN	film
represents	VBZ	represent
directorial	JJ	directorial
self	NN	self
indulgence	NN	indulgence
profound	JJ	profound
contempt	NN	contempt
taste	NN	taste
values	VBZ	value
intelligence	NN	intelligence
viewer	NN	viewer
very	RB	very
unusual	JJ	unusual
mr	NN	Mr
altman	NN	<unknown>
patrick	NN	<unknown>
watson	NN	<unknown>
