what	WP	what
exciting	JJ	exciting
fairly	RB	fairly
original	JJ	original
series	NN	series
fox	NN	fox
degraded	VBD	degrade
meandering	VBG	meander
tripe	NN	tripe
season	NN	season
dark	JJ	dark
angel	NN	angel
weekly	NN	weekly
"	``	"
must	MD	must
see	VB	see
"	``	"
list	NN	list
not	RB	not
just	RB	just
jessica	NN	<unknown>
alba	NN	<unknown>
unfortunately	RB	unfortunately
powers	VBZ	power
fox	NN	fox
decided	VBD	decide
needed	VBN	need
"	``	"
fine	JJ	fine
tune	NN	tune
"	''	"
plotline	NN	<unknown>
3	CD	3
episodes	NNS	episode
season	NN	season
opener	NN	opener
totally	RB	totally
lost	VBD	lose
as	IN	as
viewer	NN	viewer
not	RB	not
jessica	NN	<unknown>
alba	NN	<unknown>
new	JJ	new
characters	NNS	character
added	VBD	add
second	JJ	second
season	NN	season
too	RB	too
ridiculous	JJ	ridiculous
amateurish	JJ	amateurish
new	JJ	new
plotlines	NNS	<unknown>
stretching	VBG	stretch
continuity	NN	continuity
credibility	NN	credibility
too	RB	too
thin	JJ	thin
second	JJ	second
season	NN	season
episodes	NNS	episode
max	NN	<unknown>
sleeping	NN	sleeping
dreaming	VBG	dream
season	NN	season
stated	VBN	state
biologically	RB	biologically
could	MD	could
n't	RB	n't
sleep	VB	sleep
moral	JJ	moral
story	NN	story
hollywood	NN	<unknown>
never	RB	never
gets	VBZ	get
works	NNS	work
do	VBP	do
n't	RB	n't
screw	VB	screw
azjazz	NN	<unknown>
