i	NP	i
excited	JJ	excited
sitcom	NN	sitcom
hopefully	RB	hopefully
represent	VBP	represent
indian	JJ	Indian
candians	NNS	<unknown>
but	CC	but
not	RB	not
funny	JJ	funny
all	DT	all
producers	NNS	producer
cast	VBD	cast
probably	RB	probably
happy	JJ	happy
bad	JJ	bad
good	JJ	good
feed	NN	feed
as	IN	as
far	RB	far
as	RB	as
concerned	VBN	concern
it	PP	it
's	VBZ	be
getting	VBG	get
talked	VBN	talk
ready	JJ	ready
stereotyping	VBG	stereotype
no	DT	no
problem	NN	problem
stereotypes	NNS	stereotype
exist	VBP	exist
reason	NN	reason
usually	RB	usually
true	JJ	true
but	CC	but
really	RB	really
was	VBD	be
n't	RB	n't
funny	JJ	funny
stereotypical	JJ	stereotypical
characters	NNS	character
"	``	"
fresh	JJ	fresh
boat	NN	boat
"	''	"
dad	NN	dad
does	VBZ	do
n't	RB	n't
understand	VB	understand
daughter	NN	daughter
radical	JJ	radical
feminist	JJ	feminist
muslim	NN	Muslim
daughter	NN	daughter
way	NN	way
terrible	JJ	terrible
actress	NN	actress
young	JJ	young
modern	JJ	modern
indian	JJ	Indian
man	NN	man
trying	VBG	try
run	NN	run
mosque	NN	mosque
as	IN	as
politically	RB	politically
correct	JJ	correct
as	IN	as
he	PP	he
's	VBZ	be
pretty	RB	pretty
good	JJ	good
actor	NN	actor
getting	VBG	get
better	RBR	well
very	RB	very
contrived	JJ	contrived
dialog	NN	dialog
does	VBZ	do
n't	RB	n't
flow	VB	flow
well	RB	well
much	RB	much
potential	JJ	potential
like	IN	like
but	CC	but
sadly	RB	sadly
think	VB	think
failed	VBN	fail
do	VBP	do
n't	RB	n't
really	RB	really
care	VB	care
watch	NN	watch
episode	NN	episode
did	VBD	do
however	RB	however
enjoy	VB	enjoy
watching	VBG	watch
great	JJ	great
canadian	JJ	Canadian
actress	NN	actress
sheila	NN	sheila
mccarthy	NN	<unknown>
again	RB	again
she	PP	she
's	VBZ	be
always	RB	always
treat	VB	treat
natural	JJ	natural
does	VBZ	do
too	RB	too
bad	JJ	bad
daughter	NN	daughter
does	VBZ	do
n't	RB	n't
acting	JJ	acting
abilities	NNS	ability
