this	DT	this
inspiring	JJ	inspiring
tough	JJ	tough
jam	NN	jam
financially	RB	financially
emotionally	RB	emotionally
definitely	RB	definitely
laugh	VB	laugh
best	JJS	good
medicine	NN	medicine
happy	JJ	happy
left	VBN	leave
bad	JJ	bad
financial	JJ	financial
situation	NN	situation
husband	NN	husband
dies	VBZ	die
grace	NN	grace
new	JJ	new
way	NN	way
make	VB	make
money	NN	money
it	PP	it
's	VBZ	be
not	RB	not
exactly	RB	exactly
legal	JJ	legal
adds	VBZ	add
humour	NN	humour
boyfriend	NN	boyfriend
liked	VBD	like
do	VB	do
n't	RB	n't
think	VB	think
it	PP	it
's	POS	's
chick	NN	chick
flic	NN	<unknown>
