this	DT	this
really	RB	really
nerve	NN	nerve
racking	VBG	rack
cliffhangin	NN	<unknown>
stallone	NN	<unknown>
good	JJ	good
as	IN	as
always	RB	always
michael	JJ	<unknown>
rooker	NN	<unknown>
surprising	JJ	surprising
performance	NN	performance
john	NN	john
lithgow	NN	<unknown>
play	VBP	play
excellent	JJ	excellent
villain	NN	villain
music	NN	music
fantastic	JJ	fantastic
especially	RB	especially
theme	NN	theme
action	NN	action
packed	VBD	pack
never	RB	never
dull	JJ	dull
stallone	NN	<unknown>
fan	NN	fan
watch	NN	watch
cliffhanger	NN	cliffhanger
wo	MD	wo
n't	RB	n't
disappointed	VBN	disappoint
